,Member,Party Name,Constituency
79,"Chaudhuri,Shri Tridib",RSP,Berhampore (West Bengal )
80,"Chauhan,Shri Nawab Singh",Janata Party,Aligarh (Uttar Pradesh )
81,"Chauhan,Shri Bega Ram",Janata Party,Ganganagar-SC (Rajasthan )
82,"Chavan,Smt. Premalabai Dajisaheb",Congress,Karad (Maharashtra )
83,"Chavan,Shri Yashwantrao Balwantrao",Congress,Satara (Maharashtra )
84,"Chavda,Shri Khemchandbhai",Janata Party,Patan-SC (Gujarat )
85,"Chettri,Shri Chatra Bahadur",Congress,Sikkim (Sikkim )
86,"Chettri,Shri Krishna Bahadur",Congress,Darjeeling (West Bengal )
87,"Chikkalingaiah,Shri Keragode",Congress,Mandya (Karnataka )
88,"Choudhari,Shri Kalingappa Bhimanna",Congress,Bijapur (Karnataka )
89,"Choudhury,Smt. Rashida Haque",Congress,Silchar (Assam )
90,"Chowhan,Shri Bharat Singh",Janata Party,Dhar-ST (Madhya Pradesh )
91,"Chunder,Dr. Pratap Chandra",Janata Party,Calcutta North East (West Bengal )
92,"Dabhi,Shri Ajitsinh",Congress,Anand (Gujarat )
93,"Damani,Shri Suraj Ratan Fatehchand",Congress,Solapur (Maharashtra )
94,"Damor,Shri Somjibhai",Congress,Dohad-ST (Gujarat )
95,"Dandavate,Prof. Madhu",Janata Party,Rajapur (Maharashtra )
96,"Danwe,Shri Pundlik Hari",Janata Party,Jalna (Maharashtra )
97,"Das,Shri Renu Pada",CPI(M),Krishnagar (West Bengal )
98,"Das,Prof. Mahanth Shyam Sundar",Janata Party,Sitamarhi (Bihar )
99,"Dasappa,Shri M.Tulsidas",Congress,Mysore (Karnataka )
100,"Dasgupta,Shri Khagendra Nath",Janata Party,Jalpaiguri (West Bengal )
101,"Dave,Shri Anant Devshankar",Janata Party,Kutch (Gujarat )
102,"Dawn,Shri Raj Krishna",Janata Party,Burdwan (West Bengal )
103,"Deb Burman,H.H.Maharaja Manikya Kirit Bikram Kishore",Congress,Tripura East-ST (Tripura )
104,"Deo,Shri V. Kishore Chandra",Congress,Parvathipuram-ST (Andhra Pradesh )
105,"Deo,Shri Pratap Keshari",Ind.,Kalahandi (Odisha )
106,"Desai,Shri Dajiba",PAWPI,Kolhapur (Maharashtra )
107,"Desai,Shri Hitendra",Congress,Godhra (Gujarat )
108,"Desai,Shri Morarji Ranchhodji",Janata Party,Surat (Gujarat )
109,"Desai,Shri Dharmsinh Dadubhai",Congress,Kaira (Gujarat )
110,"Deshmukh,Shri Nanaji",Janata Party,Balrampur (Uttar Pradesh )
111,"Deshmukh,Shri Ram Prakash",Janata Party,Hathras-SC (Uttar Pradesh )
112,"Deshmukh,Shri Sheshrao Apparao",PAWPI,Parbhani (Maharashtra )
113,"Dev,Shri Shankar",Congress,Bidar-SC (Karnataka )
114,"Devarajan,Shri B.",Congress,Rasipuram-SC (Tamil Nadu )
115,"Dhandayuthapani,Shri V.",Janata Party,Vellore (Tamil Nadu )
116,"Dhara,Shri Sushil Kumar",Janata Party,Tamluk (West Bengal )
117,"Dharia,Shri Mohan Manikchand",Janata Party,Pune (Maharashtra )
118,"Dhillon,Shri Iqbal Singh",Akali Dal,Jullundur (Punjab )
119,"Dhondge,Shri Keshav Shankar",Unattached,Nanded (Maharashtra )
120,"Dhurve,Shri Shyam Lal",Janata Party,Mandla-ST (Madhya Pradesh )
121,"Digal,Shri Sribatcha",Janata Party,Phulbani-SC (Odisha )
122,"Doley,Shri Lalit Kumar",Congress,Lakhimpur (Assam )
123,"Dubey,Shri Yadavendra Dutt",Janata Party,Jaunpur (Uttar Pradesh )
124,"Durga Chand Kanwar,Shri",Janata Party,Kangra (Himachal Pradesh )
125,"Dutt,Shri Ashok Krishna",Janata Party,Dumdum (West Bengal )
126,"Dwarkadas Mohanlal Patel,Shri",Congress,Amreli (Gujarat )
127,"Engti,Shri Biren Singh",Congress,Autonomous District-ST (Assam )
128,"Faleiro,Shri Eduardo",Congress,"Mormugao (Goa, Daman and Diu )"
129,"Fernandes,Shri George",Janata Party,Muzaffarpur (Bihar )
130,"Gaekwad,Shri Fatesinghrao Pratapsinghrao",Congress,Baroda (Gujarat )
131,"Gamang,Shri Giridhar",Congress,Koraput-ST (Odisha )
132,"Gamit,Shri Chhitubhai",Congress,Mandvi-ST (Gujarat )
133,"Gandhi,Smt. Indira",Congress,Chikmagalur (Karnataka )
134,"Gattani,Shri Ranchhor Das",Janata Party,Jodhpur (Rajasthan )
135,"Gawai,Shri Daulat Gunaji",Unattached,Buldhana-SC (Maharashtra )
136,"George,Shri A.C.",Congress,Mukundapuram (Kerala )
137,"Ghosh Goswami,Smt. Bibha",CPI(M),Nabadwip-SC (West Bengal )
138,"Ghoshal,Shri Sudhir Kumar",Janata Party,Midnapore (West Bengal )
139,"Giri,Shri S.B.",Congress,Warangal (Andhra Pradesh )
140,"Girija Nandan Singh,Thakur",Janata Party,Sheohar (Bihar )
141,"Godara,Chaudhry Hari Ram Makkasar",Janata Party,Bikaner (Rajasthan )
142,"Gode,Shri Santoshrao",Congress,Wardha (Maharashtra )
143,"Gogoi,Shri Tarun",Congress,Jorhat (Assam )
144,"Gopal,Shri K.",Congress,Karur (Tamil Nadu )
145,"Gore,Smt. Mrinal",Janata Party,Bombay North (Maharashtra )
146,"Gotkhinde,Shri Annasaheb",Congress,Sangli (Maharashtra )
147,"Govindjiwala,Shri Parmanand",Janata Party,Khandwa (Madhya Pradesh )
148,"Gowda,Shri Shivara Nanjesha",Janata Party,Hassan (Karnataka )
149,"Gowda,Shri Chandre D.B.",Congress,Chikmagalur (Karnataka )
150,"Goyal,Shri Krishna Kumar",Janata Party,Kota (Rajasthan )
151,"Guha,Prof. Samar",Janata Party,Contai (West Bengal )
152,"Gulshan,Sardar Dhanna Singh",Akali Dal,Bhatinda-SC (Punjab )
153,"Gupta,Shri Shyam Sundar",Janata Party,Barh (Bihar )
154,"Gupta,Shri Kanwar Lal",Janata Party,Delhi Sadar (NCT of Delhi )
155,"Halder,Shri Krishna Chandra",CPI(M),Durgapur-SC (West Bengal )
156,"Hande,Shri Vithalrao Ganpatrao",PAWPI,Nashik (Maharashtra )
157,"Harikesh Bahadur,Shri",Congress,Gorakhpur (Uttar Pradesh )
158,"Hashim,Shri M.M.",Congress,Secunderabad (Andhra Pradesh )
159,"Hayat Ali,Shri Mohammed",Janata Party,Raiganj (West Bengal )
160,"Hazari,Shri Ram Sewak",Janata Party,Rosera-SC (Bihar )
161,"Heera Bhai,Shri",Janata Party,Banswara-ST (Rajasthan )
162,"Hegde,Shri K.S.",Janata Party,Bangalore South (Karnataka )
163,"Hukam Ram,Shri",Janata Party,Jalore-SC (Rajasthan )
164,"Hussain,Shri Ahmed",Congress,Dhubri (Assam )
165,"Ilanchezhiyan,Shri V.S.",AIADMK,Pudukkottai (Tamil Nadu )
166,"Jaffer Sharief,Shri C.K.",Congress,Bangalore North (Karnataka )
167,"Jafri,Shri Ahsan",Congress,Ahmedabad (Gujarat )
168,"Jaganathan,Shri Seeralan",AIADMK,Sriperumbudur-SC (Tamil Nadu )
169,"Jagjivan Ram,Shri",Janata Party,Sasaram-SC (Bihar )
170,"Jain,Shri Kachrulal Hemraj",Unattached,Balaghat (Madhya Pradesh )
171,"Jain,Shri Kalyan",Janata Party,Indore (Madhya Pradesh )
172,"Jain,Shri Mohan",Janata Party,Durg (Madhya Pradesh )
173,"Jain,Shri Nirmal Chandra",Janata Party,Seoni (Madhya Pradesh )
174,"Jaiswal,Shri Anantram",Janata Party,Faizabad (Uttar Pradesh )
175,"Jasrotia,Thakur Baldev Singh",Janata Party,Jammu (Jammu and Kashmir )
176,"Jawade,Shri Shridharrao Alias Bhayyasaheb",Congress,Yavatmal (Maharashtra )
177,"Jena Bairagi,Shri",Janata Party,Bhadrak-SC (Odisha )
178,"Jethmalani,Shri Ram",Janata Party,Bombay North West (Maharashtra )
