,Member,Party Name,Constituency
0,"Acharia,Shri Basudeb",CPI(M),Bankura (West Bengal )
1,"Adaikalaraj,Shri Lourdusamy",Congress(I),Tiruchirappalli (Tamil Nadu )
2,"Advani, Shri Lal Krishna",BJP,Gandhinagar (Gujarat )
3,"Agnihotri,Shri Rajendra",BJP,Jhansi (Uttar Pradesh )
4,"Ahamed, Shri E.",ML,Manjeri (Kerala )
5,"Ahirwar,Shri Anand",Congress(I),Sagar-SC (Madhya Pradesh )
6,"Ahmed,Shri Kamaluddin",Congress(I),Hanamkonda (Andhra Pradesh )
7,"Aiyar,Shri Mani Shankar",Congress(I),Mayiladuturai (Tamil Nadu )
8,"Anand,Smt. Lovely",SAP,Vaishali (Bihar )
9,"Anbarasu,Shri Era",Congress(I),Madras Central (Tamil Nadu )
10,"Anjalose,Shri T.J.",CPI(M),Alleppey (Kerala )
11,"Annayyagari,Shri Sai Prathap",Congress(I),Rajampet (Andhra Pradesh )
12,"Ansari,Dr.(Prof.) Mumtaz",JD,Kodarma (Bihar )
13,"Anthony,Shri Frank",NM,
14,"Antulay,Shri Abdul Rehman",Congress(I),Kulaba (Maharashtra )
15,"Anwari,Shri Basavaraj Patil",Congress(I),Koppal (Karnataka )
16,"Arjun Singh,Shri",Congress(I),Satna (Madhya Pradesh )
17,"Arunachalam,Shri Mookaiah",Congress(I),Tenkasi-SC (Tamil Nadu )
18,"Ashokaraj,Shri A.",AIADMK,Perambalur-SC (Tamil Nadu )
19,"Athithan,Shri Dhanuskodi",Congress(I),Tiruchendur (Tamil Nadu )
20,"Avedyanath,Mahant",BJP,Gorakhpur (Uttar Pradesh )
21,"Azam,Dr. Faiyazul",JD,Bettiah (Bihar )
22,"Baitha,Shri Mahendra",JD,Bagaha-SC (Bihar )
23,"Bala,Dr. Asim",CPI(M),Nabadwip-SC (West Bengal )
24,"Balayogi,Shri Ganti Mohana Chandra",TDP,Amalapuram-SC (Andhra Pradesh )
25,"Baliyan,Shri Naresh Kumar",BJP,Muzaffarnagar (Uttar Pradesh )
26,"Banerjee,Kum. Mamata",Congress(I),Calcutta South (West Bengal )
27,"Bansal,Shri Pawan Kumar",Congress(I),Chandigarh (Chandigarh )
28,"Barman,Shri Palas",RSP,Balurghat-SC (West Bengal )
29,"Barman,Shri Uddhab",CPI(M),Barpeta (Assam )
30,"Basava Rajeswari,Smt.",Congress(I),Bellary (Karnataka )
31,"Basha S.M.,Shri Lal Jan",TDP,Guntur (Andhra Pradesh )
32,"Basu,Shri Anil",CPI(M),Arambagh (West Bengal )
33,"Basu,Shri Chitta",FB(M),Barasat (West Bengal )
34,"Berwa,Shri Ram Narain",BJP,Tonk-SC (Rajasthan )
35,"Bhadana,Shri Avtar Singh",Congress(I),Faridabad (Haryana )
36,"Bhagat,Shri Vishweshwar",Congress(I),Balaghat (Madhya Pradesh )
37,"Bhagey Gobardhan,Shri",Congress(I),Mayurbhanj-ST (Odisha )
38,"Bhakta,Shri Manoranjan",Congress(I),Andaman and Nicobar Islands (Andaman and Nicobar Islands )
39,"Bhandari,Smt. Dil Kumari",SSP,Sikkim (Sikkim )
40,"Bhardwaj,Shri Paras Ram",Congress(I),Sarangarh-SC (Madhya Pradesh )
41,"Bhargav,Shri Girdhari Lal",BJP,Jaipur (Rajasthan )
42,"Bhatia,Shri Raghunandan Lal",Congress(I),Amritsar (Punjab )
43,"Bhattacharya,Prof. (Smt.) Malini",CPI(M),Jadavpur (West Bengal )
44,"Bhattacharya,Shri Nani",RSP,Berhampore (West Bengal )
45,"Bhoi,Dr. Krupasindhu",Congress(I),Sambalpur (Odisha )
46,"Bhonsle,Shri Tejsingh Rao Raje Laxman Rao",Congress(I),Ramtek (Maharashtra )
47,"Bhosale,Shri Prataprao Baburao",Congress(I),Satara (Maharashtra )
48,"Bhupathiraju,Shri Vijaya Kumar Raju",TD(V),Narsapur (Andhra Pradesh )
49,"Bhuria,Shri Dileep Singh",Congress(I),Jhabua-ST (Madhya Pradesh )
50,"Bibhu Kumari Devi,Maharani",Congress(I),Tripura East-ST (Tripura )
51,"Birbal Ram,Shri",Congress(I),Ganganagar-SC (Rajasthan )
52,"Brar,Sardar Jagmeet Singh",Congress(I),Faridkot (Punjab )
53,"Brohmo Chaudhury,Shri Satyendra Nath",Ind.,Kokrajhar-ST (Assam )
54,"Buta Singh,Sardar",Congress(I),Jalore-SC (Rajasthan )
55,"Chacko,Shri P.C.",Congress(I),Trichur (Kerala )
56,"Chakraborty,Shri Susanta",CPI(M),Howrah (West Bengal )
57,"Chaliha,Shri Kirip",Congress(I),Guwahati (Assam )
58,"Chandra Shekhar,Shri",Janata Party,Ballia (Uttar Pradesh )
59,"Chandrakar,Shri Chandulal",Congress(I),Durg (Madhya Pradesh )
60,"Chandrasekhar,Smt. Maragatham",Congress(I),Sriperumbudur-SC (Tamil Nadu )
61,"Charles,Shri A.",Congress(I),Thiruvananthapuram (Kerala )
62,"Chatterjee,Shri Nirmal Kanti",CPI(M),Dumdum (West Bengal )
63,"Chatterjee,Shri Somnath",CPI(M),Bolpur (West Bengal )
