,Member,Party Name,Constituency
0,"Abdullah,Shri Omar",NC,Srinagar (Jammu and Kashmir )
1,"Acharia,Shri Basudeb",CPI(M),Bankura (West Bengal )
2,"Acharya,Shri Prasanna",BJD,Sambalpur (Odisha )
3,"Adityanath, Shri Yogi",BJP,Gorakhpur (Uttar Pradesh )
4,"Advani, Shri Lal Krishna",BJP,Gandhinagar (Gujarat )
5,"Agarwal,Shri Dhirendra",BJP,Chatra (Bihar )
6,"Agnihotri,Shri Rajendra",BJP,Jhansi (Uttar Pradesh )
7,"Ahamed,Shri Moinul Hassan",CPI(M),Murshidabad (West Bengal )
8,"Ahamed, Shri E.",IUML,Manjeri (Kerala )
9,"Ahire,Shri Dhanaji Sitaram",INC,Dhule-ST (Maharashtra )
10,"Ahmad,Shri Akbar",BSP,Azamgarh (Uttar Pradesh )
11,"Ahmad,Dr. Shakeel",INC,Madhubani (Bihar )
12,"Ajaya Kumar,Shri S.",CPI(M),Ottapalam-SC (Kerala )
13,"Ajmeera,Shri Chandulal",TDP,Warangal (Andhra Pradesh )
14,"Ajna,Shri Udai Lal",INC,Chittorgarh (Rajasthan )
15,"Aliwal,Shri Amrik Singh",SAD,Ludhiana (Punjab )
16,"Ambareesh,Shri M.H.",JD,Mandya (Karnataka )
17,"Ambedkar,Shri Prakash Yashwant",RPI,Akola (Maharashtra )
18,"Anand Mohan,Shri",AIRJP,Sheohar (Bihar )
19,"Ananth Kumar, Shri",BJP,Bangalore South (Karnataka )
20,"Annayyagari,Shri Sai Prathap",INC,Rajampet (Andhra Pradesh )
21,"Anwar, Shri Tariq",INC,Katihar (Bihar )
22,"Apang,Shri Omak",AC,Arunachal West (Arunachal Pradesh )
23,"Argal,Shri Ashok",BJP,Morena-SC (Madhya Pradesh )
24,"Arumugham,Shri S.",DMK,Pondicherry (Pondicherry )
25,"Athawale,Shri Ramdas",RPI,Mumbai North Central (Maharashtra )
26,"Awade,Shri Kallappa Baburao",INC,Ichalkaranji (Maharashtra )
27,"Ayanur,Shri Manjunath",BJP,Shimoga (Karnataka )
28,"Baalu,Shri Thalikkottai Rajuthevar",DMK,Madras South (Tamil Nadu )
