,Member,Party Name,Constituency
0,"A. Raja,Shri",DMK,Perambalur -SC (Tamil Nadu )
1,"Aaroon Rasheed,Shri J.M.",INC,Periyakulam (Tamil Nadu )
2,"Abdullah,Shri Omar",J&KNC,Srinagar (Jammu and Kashmir )
3,"Abdullakutty,Shri A.P.",CPI(M),Cannanore (Kerala )
4,"Acharia,Shri Basudeb",CPI(M),Bankura (West Bengal )
5,"Acharya,Shri Prasanna",BJD,Sambalpur (Odisha )
6,"Adhalrao Patil, Shri Shivaji",SS,Khed (Maharashtra )
7,"Adityanath, Shri Yogi",BJP,Gorakhpur (Uttar Pradesh )
8,"Adsul, Shri Anandrao",SS,Buldhana -SC (Maharashtra )
9,"Advani, Shri Lal Krishna",BJP,Gandhinagar (Gujarat )
10,"Agarwal,Shri Dhirendra",RJD,Chatra (Jharkhand )
11,"Ahamed, Shri E.",IUML,Ponnani (Kerala )
12,"Ahir, Shri Hansraj Gangaram",BJP,Chandrapur (Maharashtra )
13,"Ahmad,Shri Ateeq",SP,Phulpur (Uttar Pradesh )
14,"Ahmad,Dr. Shakeel",INC,Madhubani (Bihar )
15,"Ahuja,Shri Govinda Arun",INC,Mumbai-North (Maharashtra )
16,"Aiyar,Shri Mani Shankar",INC,Mayiladuthurai (Tamil Nadu )
17,"Ajaya Kumar,Shri S.",CPI(M),Ottapalam -SC (Kerala )
18,"Ajgalley,Shri Guharam",BJP,Sarangarh -SC (Chhattisgarh )
19,"Ajnala,Dr. Rattan Singh",SAD,Tarn Taran (Punjab )
20,"Alemao,Shri Churchill Braz",INC,Mormugao (Goa )
21,"Ambareesh,Shri M.H.",INC,Mandya (Karnataka )
22,"Ananth Kumar, Shri",BJP,Bangalore South (Karnataka )
23,"Angadi, Shri Suresh Chanabasappa",BJP,Belgaum (Karnataka )
24,"Annayyagari,Shri Sai Prathap",INC,Rajampet (Andhra Pradesh )
25,"Ansari,Shri Furkan",INC,Godda (Jharkhand )
26,"Ansari,Shri Afzal",SP,Ghazipur (Uttar Pradesh )
27,"Antulay,Shri Abdul Rehman",INC,Kulaba (Maharashtra )
28,"Appadurai,Shri M.",CPI,Tenkasi -SC (Tamil Nadu )
29,"Argal,Shri Ashok",BJP,Morena -SC (Madhya Pradesh )
30,"Athawale,Shri Ramdas",RPI(A),Pandharpur -SC (Maharashtra )
31,"Athithan,Shri Dhanuskodi",INC,Tirunelveli (Tamil Nadu )
32,"Atwal,Shri Charnjit Singh",SAD,Phillaur -SC (Punjab )
33,"Audikesavulu,Shri D.K.",TDP,Chittoor (Andhra Pradesh )
34,"Azmi,Shri Iliyas",BSP,Shahabad (Uttar Pradesh )
35,"Baalu,Shri Thalikkottai Rajuthevar",DMK,Chennai South (Tamil Nadu )
36,"Baba,Shri K.C. Singh",INC,Nainital (Uttarakhand )
37,"Babbar,Shri Raj",SP,Agra (Uttar Pradesh )
38,"Badal,Shri Sukhbir Singh",SAD,Faridkot (Punjab )
39,"Badi,Shri Rajendra Kumar",SP,Hardwar -SC (Uttarakhand )
40,"Badiga,Shri Ramakrishna",INC,Machilipatnam (Andhra Pradesh )
41,"Baghel,Prof. S.P. Singh",SP,Jalesar (Uttar Pradesh )
42,"Bahuguna,Shri Vijay",INC,Tehri Garhwal (Uttarakhand )
43,"Bais,Shri Ramesh",BJP,Raipur (Chhattisgarh )
44,"Baitha,Shri Kailash",JD(U),Bagaha -SC (Bihar )
45,"Banerjee,Kum. Mamata",AITC,Calcutta South (West Bengal )
46,"Bangarappa,Shri S.",SP,Shimoga (Karnataka )
47,"Bangaru,Smt. Susheela Laxman",BJP,Jalore -SC (Rajasthan )
48,"Bansal,Shri Pawan Kumar",INC,Chandigarh (Chandigarh )
49,"Barad,Shri Jashubhai Dhanabhai",INC,Junagadh (Gujarat )
50,"Barman,Shri Hiten",AIFB,Cooch Behar -SC (West Bengal )
51,"Barman,Shri Ranen",RSP,Balurghat -SC (West Bengal )
52,"Barman,Prof. Basudeb",CPI(M),Mathurapur -SC (West Bengal )
