,Member,Party Name,Constituency
0,"Abdur Rashid,Shri Bakshi",Congress,
1,"Achal Singh,Seth",Congress,Agra (Uttar Pradesh )
2,"Achuthan,Shri R.",Congress,Mavelikara (Kerala )
3,"Ahmad,Shri Ghyasuddin",Congress,Dhubri (Assam )
4,"Ajit Pratap Singh,Shri",Jan Sangh,Pratapgarh (Uttar Pradesh )
5,"Akkamma Devi,Smt.",Congress,Nilgiris (Madras )
6,"Alagesan Mudaliar,Shri O.V.",Congress,Chengleput (Madras )
7,"Alva,Shri Joachim",Congress,Kanara (Mysore )
8,"Alva,Shri A. Shanker",Congress,Mangalore (Mysore )
9,"Aney,Dr. Madhav Shrihari",Ind.,Nagpur (Maharashtra )
10,"Anjanappa,Shri B.",Congress,Nellore-SC (Andhra Pradesh )
11,"Ankineedu,Shri Maganti",Congress,Gudiwada (Andhra Pradesh )
12,"Anthony,Shri Frank",IPG,
13,"Antonio Colaco,Dr.",PCG,
14,"Arunachalam,Shri N.",Congress,Ramanthapuram (Madras )
15,"Augustus,Shri Alvares Peter",MG,"Panjim (Goa, Daman and Diu )"
16,"Ayyangar,Shri Madabhusi Ananthasayanam",Congress,Chittoor (Andhra Pradesh )
17,"Azad,Shri Bhagwat Jha",Congress,Bhagalpur (Bihar )
18,"Bade,Shri Ram Chandra",Jan Sangh,Khargone (Madhya Pradesh )
19,"Badrudduja,Syed",IDP,Murshidabad (West Bengal )
20,"Bagri,Shri Mani Ram",Socialist,Hissar (Punjab )
21,"Bajaj,Shri Kamalnayan Jamnalal",Congress,Wardha (Maharashtra )
22,"Bakliwal,Shri Mohan Lal",Congress,Durg (Madhya Pradesh )
23,"Balaramaraju,Shri Dalta",Congress,Narasapur (Andhra Pradesh )
24,"Balkrishnan,Shri S.C.",Congress,Koilpatti-SC (Madras )
25,"Balmiki,Shri Kanhaiya Lal",Congress,Khurja-SC (Uttar Pradesh )
26,"Banerjee,Shri S.M.",Ind.,Kanpur (Uttar Pradesh )
27,"Banerji,Dr. Ramgati",Congress,Bankura (West Bengal )
28,"Baria,Shri Hirabhai Kunverbhai",Swatantra Party,Dohad-ST (Gujarat )
29,"Barkataki,Smt. Renuka Devi",Congress,Barpeta (Assam )
30,"Barman,Shri P.C.",Congress,Cooch Behar-SC (West Bengal )
31,"Barrow,Shri A.E.T.",Ind.,
32,"Barua,Shri Rajendranath",PSP,Jorhat (Assam )
33,"Barupal,Shri Pannalal",Congress,Ganganagar-SC (Rajasthan )
34,"Basappa,Shri C.R.",Congress,Tiptur (Mysore )
35,"Basu,Shri Gurugovinda",Congress,Burdwan (West Bengal )
36,"Basumatari,Shri Dharanidhor",Congress,Goalpara-ST (Assam )
37,"Baswant,Shri Sonubhau Dagadu",Congress,Thane (Maharashtra )
38,"Berwa,Shri Onkarlal",Jan Sangh,Kota (Rajasthan )
39,"Besra,Shri Satya Chandra",Congress,Dumka-ST (Bihar )
40,"Bhagat,Shri Bali Ram",Congress,Shahabad (Bihar )
41,"Bhagavati,Shri Bijoy Chandra",Congress,Darrang (Assam )
42,"Bhakt Darshan,Shri",Congress,Garhwal (Uttar Pradesh )
43,"Bhanu Prakash Singh (Narsinghgarh),H.H.Maharaja",Congress,Raigarh-ST (Madhya Pradesh )
44,"Bhargava,Pandit Mukut Bihari Lal",Congress,Ajmer (Rajasthan )
45,"Bhatkar,Shri Laxmanrao Shrawanji",Congress,Khamgaon-SC (Maharashtra )
46,"Bhattacharya,Shri Dinendra Nath",CP,Serampore (West Bengal )
47,"Bhattacharyya,Shri C.K.",Congress,Raiganj (West Bengal )
48,"Bheel,Shri P.H.D.",Swatantra Party,Dohad-ST (Gujarat )
49,"Bibhuti Mishra,Shri",Congress,Motihari (Bihar )
50,"Birendra Bahadur Singh,Major Raja Bahadur",Congress,Rajnandgaon (Madhya Pradesh )
51,"Bisht,Shri Jang Bahadur Singh",Congress,Almora (Uttar Pradesh )
52,"Boddiapalli,Shri Rajagopala Rao",Congress,Srikakulam (Andhra Pradesh )
53,"Borooah,Shri Prafulla Chandra",Congress,Sibsagar (Assam )
54,"Brahm Perkash,Chowdhury",Congress,Outer Delhi-SC (NCT of Delhi )
55,"Brajeshwar Prasad,Shri",Congress,Gaya-SC (Bihar )
56,"Brij Basi Lal,Shri",Congress,Faizabad (Uttar Pradesh )
57,"Brijraj Singh,Shri",Congress,Jhalawar (Rajasthan )
58,"Buta Singh,Sardar",Akali Dal,Moga-SC (Punjab )
59,"Chakravarti,Shri P.R.",Congress,Dhanbad (Bihar )
60,"Chakravartty,Smt. Renu",CP,Barrackpore (West Bengal )
61,"Chanda,Smt. Jyotsna",Congress,Cachar-SC (Assam )
62,"Chandak,Shri BHikulal Lachhimichand",Congress,Chhindwara (Madhya Pradesh )
63,"Chandrabhan Singh,Dr.",Congress,Bilaspur-SC (Madhya Pradesh )
64,"Chandrasekhar,Smt. Maragatham",Congress,Mayuram-SC (Madras )
65,"Chandriki,Shri Jagannath Rao",Congress,Raichur (Mysore )
66,"Chattar Singh,Shri",Congress,Chamba (Himachal Pradesh )
67,"Chatterjee,Shri N.C.",Ind.,Burdwan (West Bengal )
68,"Chatterjee,Shri Hari Pada",Ind.,Nabadwip-SC (West Bengal )
69,"Chaturvedi,Shri Shambunath",Congress,Firozabad-SC (Uttar Pradesh )
70,"Chaudhary,Shri Yudhvir Singh",Jan Sangh,Mahendragarh (Punjab )
71,"Chaudhri,Smt. Kamala",Congress,Hapur (Uttar Pradesh )
72,"Chaudhuri,Shri Sachindra Nath",Congress,Ghatal (West Bengal )
73,"Chaudhuri,Shri Tridib",RSP,Berhampore (West Bengal )
74,"Chavan,Shri Yashwantrao Balwantrao",Congress,Nashik (Maharashtra )
75,"Chavan,Shri Dajisaheb Ramrao",Congress,Karad (Maharashtra )
76,"Chavda,Smt. Zohraben Akbarbhai",Congress,Banaskantha (Gujarat )
77,"Chawdhary,Dr. Chandra Mani Lal",Congress,Moahna-SC (Bihar )
78,"Chuni Lal,Shri",Congress,Ambala-SC (Punjab )
79,"Dafle,Shri Vijayasinhrao Ramarao",Congress,Miraj (Maharashtra )
80,"Daji,Shri Homi F.",CP,Indore (Madhya Pradesh )
81,"Daljit Singh,Sardar",Congress,Una-SC (Punjab )
82,"Dandekar,Shri N.",Swatantra Party,Gonda (Uttar Pradesh )
83,"Das,Shri Nayan Tara",Congress,Jamui-SC (Bihar )
84,"Das,Shri Ram Dhani",Congress,Nawada-SC (Bihar )
85,"Das,Shri Shree Narayan",Congress,Darbhanga (Bihar )
86,"Das,Dr. Mono Mohan",Congress,Ausgram-SC (West Bengal )
87,"Das,Shri Basanta Kumar",Congress,Contai (West Bengal )
88,"Das,Shri Sudhansu Bhushan",Congress,Diamond Harbour (West Bengal )
89,"Dasappa,Shri H.C.",Congress,Bangalore (Mysore )
90,"Dass,Shri C.",Congress,Tirupathi-SC (Andhra Pradesh )
91,"Datar,Shri Balwantrao Nageshrao",Congress,Belgaum (Mysore )
92,"Deb,Shri Dasaratha",CP,Tripura East-ST (Tripura )
93,"Deo,Shri Laxmi Narayan Bhanja",Congress,Keonjhar-ST (Odisha )
94,"Deo,Shri Pratap Keshari",Swatantra Party,Kalahandi (Odisha )
95,"Deo,Shri Vijaya Bhushan Singh",RRP,Raigarh-ST (Madhya Pradesh )
96,"Deo Bhanj,Raja Purna Chandra",Congress,Bhubaneswar (Odisha )
97,"Desai,Shri Morarji Ranchhodji",Congress,Surat (Gujarat )
98,"Deshmukh,Shri Bhaurao Dagdurao",Congress,Aurangabad (Maharashtra )
99,"Deshmukh,Shri Shivajirao Shankarrao",Congress,Parbhani (Maharashtra )
100,"Deshmukh,Smt. Vimla",Congress,Amravati (Maharashtra )
101,"Deshmukh,Dr. Punjabrao Shamrao",Congress,Amravati (Maharashtra )
102,"Deshpande,Shri Govind Hari",Congress,Nashik (Maharashtra )
103,"Dey,Shri Surendra Kumar",Congress,Nagaur (Rajasthan )
104,"Dhaon,Shri B.K.",Congress,Lucknow (Uttar Pradesh )
105,"Dharmalingam,Shri R.",DMK,Tiruvannamalai (Madras )
106,"Dhebar,Shri Uchharamgrai Navalshanker",Congress,Rajkot (Gujarat )
