,Member,Party Name,Constituency
0,"A. Raja,Shri",DMK,Nilgiris -SC (Tamil Nadu )
1,"Aaroon Rasheed,Shri J.M.",INC,Theni (Tamil Nadu )
2,"Abdul Rahman,Shri",DMK,Vellore (Tamil Nadu )
3,"Abdullah,Dr. Farooq",J&KNC,Srinagar (Jammu and Kashmir )
4,"Acharia,Shri Basudeb",CPI(M),Bankura (West Bengal )
5,"Adhalrao Patil, Shri Shivaji",SS,Shirur (Maharashtra )
6,"Adhi Sankar,Shri",DMK,Kallakurichi (Tamil Nadu )
7,"Adhikari, Shri Suvendu",AITC,Tamluk (West Bengal )
8,"Adhikari, Shri Sisir Kumar",AITC,Kanthi (West Bengal )
9,"Adityanath, Shri Yogi",BJP,Gorakhpur (Uttar Pradesh )
10,"Adsul, Shri Anandrao",SS,Amravati -SC (Maharashtra )
11,"Advani, Shri Lal Krishna",BJP,Gandhinagar (Gujarat )
12,"Agarwal,Shri Jai Prakash",INC,North East Delhi (NCT of Delhi )
13,"Agrawal, Shri Rajendra",BJP,Meerut (Uttar Pradesh )
14,"Ahamed, Shri E.",IUML,Malappuram (Kerala )
15,"Ahir, Shri Hansraj Gangaram",BJP,Chandrapur (Maharashtra )
16,"Ahmed, Shri Sultan",AITC,Uluberia (West Bengal )
17,"Ajmal, Maulana Badruddin",AIUDF,Dhubri (Assam )
18,"Ajnala,Dr. Rattan Singh",SAD,Khadoor Sahib (Punjab )
19,"Alagiri,Shri Sambandam Keerapalayam",INC,Cuddalore (Tamil Nadu )
20,"Alagiri,Shri M. K.",DMK,Madurai (Tamil Nadu )
21,"Amlabe,Shri Narayan Singh",INC,Rajgarh (Madhya Pradesh )
22,"Anandan,Shri K. Murugesan",AIADMK,Viluppuram -SC (Tamil Nadu )
23,"Ananth Kumar, Shri",BJP,Bangalore South (Karnataka )
24,"Angadi, Shri Suresh Chanabasappa",BJP,Belgaum (Karnataka )
25,"Annayyagari,Shri Sai Prathap",INC,Rajampet (Andhra Pradesh )
26,"Antony, Shri Anto",INC,Pathanamthitta (Kerala )
27,"Anuragi,Shri Ghanshyam",SP,Jalaun -SC (Uttar Pradesh )
28,"Argal,Shri Ashok",BJP,Bhind -SC (Madhya Pradesh )
29,"Aron,Shri Praveen Singh.",INC,Bareilly (Uttar Pradesh )
30,"Awale ,Shri Jayawant Gangaram",INC,Latur -SC (Maharashtra )
31,"Azad, Shri Kirti (JHA)",BJP,Darbhanga (Bihar )
32,"Azharuddin,Shri Mohammed",INC,Moradabad (Uttar Pradesh )
33,"Baalu,Shri Thalikkottai Rajuthevar",DMK,Sriperumbudur (Tamil Nadu )
34,"Baba,Shri K.C. Singh",INC,Nainital-Udhamsingh Nagar (Uttarakhand )
35,"Babar ,Shri Gajanan Dharmshi",SS,Maval (Maharashtra )
36,"Babbar,Shri Raj",INC,Firozabad (Uttar Pradesh )
37,"Badal,Smt. Harsimrat Kaur",SAD,Bathinda (Punjab )
38,"Baghel,Smt. Sarika Devendra Singh",RLD,Hathras -SC (Uttar Pradesh )
39,"Bahuguna,Shri Vijay",INC,Tehri Garhwal (Uttarakhand )
