,Member,Party Name,Constituency
0,"A. Raja,Shri",DMK,Perambalur -SC (Tamil Nadu )
1,"Abdullah,Shri Omar",J&KNC,Srinagar (Jammu and Kashmir )
2,"Abdullakutty,Shri A.P.",CPI(M),Cannanore (Kerala )
3,"Acharia,Shri Basudeb",CPI(M),Bankura (West Bengal )
4,"Acharya,Shri Prasanna",BJD,Sambalpur (Odisha )
5,"Adhi Sankar,Shri",DMK,Cuddalore (Tamil Nadu )
6,"Adityanath, Shri Yogi",BJP,Gorakhpur (Uttar Pradesh )
7,"Adsul, Shri Anandrao",SS,Buldhana -SC (Maharashtra )
8,"Advani, Shri Lal Krishna",BJP,Gandhinagar (Gujarat )
9,"Ahamed,Shri Moinul Hassan",CPI(M),Murshidabad (West Bengal )
10,"Ahamed, Shri E.",IUML,Manjeri (Kerala )
11,"Ahmad,Shri Daud",BSP,Shahabad (Uttar Pradesh )
12,"Aiyar,Shri Mani Shankar",INC,Mayiladuthurai (Tamil Nadu )
13,"Ajaya Kumar,Shri S.",CPI(M),Ottapalam -SC (Kerala )
14,"Alva,Smt. Margaret",INC,Kanara (Karnataka )
15,"Alvi,Shri Rashid",BSP,Amroha (Uttar Pradesh )
16,"Ambareesh,Shri M.H.",INC,Mandya (Karnataka )
17,"Ambedkar,Shri Prakash Yashwant",BBM,Akola (Maharashtra )
18,"Ananth Kumar, Shri",BJP,Bangalore South (Karnataka )
19,"Angle,Shri Ramakant Soiru",BJP,Mormugao (Goa )
20,"Argal,Shri Ashok",BJP,Morena -SC (Madhya Pradesh )
21,"Arya,Dr. (Smt.) Anita",BJP,Karol Bagh -SC (NCT of Delhi )
22,"Athawale,Shri Ramdas",Ind.,Pandharpur -SC (Maharashtra )
23,"Atkinson,Shri Denzil B.",BJP,Nominated Anglo-Indian (Andhra Pradesh )
24,"Azad, Shri Kirti (JHA)",BJP,Darbhanga (Bihar )
25,"Baalu,Shri Thalikkottai Rajuthevar",DMK,Chennai South (Tamil Nadu )
26,"Babbar,Shri Raj",SP,Agra (Uttar Pradesh )
27,"Baghel,Prof. S.P. Singh",SP,Jalesar (Uttar Pradesh )
28,"Bainda,Choudhary Ramchandra",BJP,Faridabad (Haryana )
29,"Bais,Shri Ramesh",BJP,Raipur (Chhattisgarh )
30,"Baitha,Shri Mahendra",Samata Party,Bagaha -SC (Bihar )
31,"Balayogi,Shri Ganti Mohana Chandra",TDP,Amalapuram -SC (Andhra Pradesh )
32,"Bali Ram,Dr.",BSP,Lalganj -SC (Uttar Pradesh )
33,"Banatwalla,Shri Gulam Mehmood",IUML,Ponnani (Kerala )
34,"Bandyopadhyay,Shri Sudip",AITC,Calcutta North West (West Bengal )
35,"Banerjee,Smt. Jayashree",BJP,Jabalpur (Madhya Pradesh )
36,"Banerjee,Kum. Mamata",AITC,Calcutta South (West Bengal )
37,"Bangarappa,Shri S.",SP,Shimoga (Karnataka )
