,Member,Party Name,Constituency
0,"Abdul Shafee,Shri",Congress,Chanda (Maharashtra )
1,"Achal Singh,Seth",Congress,Agra (Uttar Pradesh )
2,"Afzalpurkar,Shri Dharamao Sharanappa",Congress,Gulbarga (Mysore )
3,"Aga,Shri Syed Ahmed",Congress,Baramullah (Jammu and Kashmir )
4,"Agarwala,Shri Kamala Prasad",Congress,Tezpur (Assam )
5,"Agarwala,Shri Virendra",Jan Sangh,Moradabad (Uttar Pradesh )
6,"Agrawal,Shri Shrikrishna",Congress,Mahasamund (Madhya Pradesh )
7,"Ahirwar,Shri Nathu Ram",Congress,Tikamgarh-SC (Madhya Pradesh )
8,"Ahmed,Shri Fakhruddin Ali",Congress,Barpeta (Assam )
9,"Alagesan Mudaliar,Shri O.V.",Congress,Tiruttani (Tamil Nadu )
10,"Ambesh,Shri Chhatrapati",Congress,Firozabad-SC (Uttar Pradesh )
11,"Amrit Nahata,Shri",Congress,Barmer (Rajasthan )
12,"Anand Singh,Shri",Congress(O),Gonda (Uttar Pradesh )
13,"Ankineedu,Shri Maganti",Congress,Gudiwada (Andhra Pradesh )
14,"Ankineedu Prasada Rao,Shri P.",Congress,Ongole (Andhra Pradesh )
15,"Ansari,Shri Ziaur Rahman",Congress,Unnao (Uttar Pradesh )
16,"Anthony,Shri Frank",NM,
17,"Appalanaidu,Shri S.R.A.S.",Congress,Anakapalli (Andhra Pradesh )
18,"Asghar Husain,Shri K.M.",Congress,Akola (Maharashtra )
19,"Austin,Dr. Henry",Congress,Ernakulam (Kerala )
20,"Azad,Shri Bhagwat Jha",Congress,Bhagalpur (Bihar )
21,"Aziz Imam,Shri",Congress,Mirzapur (Uttar Pradesh )
22,"Badal,Shri Gurdas Singh",Akali Dal,Fazilka (Punjab )
23,"Bade,Shri Ram Chandra",Jan Sangh,Khargone (Madhya Pradesh )
24,"Bahuguna,Shri Hemwati Nandan",Congress,Allahabad (Uttar Pradesh )
25,"Bairwa,Shri Ram Kanwar",Swatantra Party,Tonk-SC (Rajasthan )
26,"Bajpai,Shri Vidya Dhar",Congress,Amethi (Uttar Pradesh )
27,"Bakula,Shri Kushok G.",Congress,Ladakh (Jammu and Kashmir )
28,"Baladhandayutham,Shri K.",CP,Coimbatore (Tamil Nadu )
29,"Balakrishnan,Shri K.",RSP,Ambalapuzha (Kerala )
30,"Balakrishniah,Shri Thamburu",Congress,Tirupathi-SC (Andhra Pradesh )
31,"Baliar,Shri Lambodar",Ind.,Bastar-ST (Madhya Pradesh )
32,"Banamali Babu,Shri",Congress,Sambalpur (Odisha )
33,"Banera,Shri Hemendra Singh",Jan Sangh,Bhilwara (Rajasthan )
34,"Banerjee,Shri S.M.",Ind.,Kanpur (Uttar Pradesh )
35,"Banerjee,Smt. Mukul",Congress,New Delhi (NCT of Delhi )
36,"Barman,Shri Rasendra Nath",Congress,Balurghat-SC (West Bengal )
37,"Barua,Shri Bedabrata",Congress,Kaliabor (Assam )
38,"Barupal,Shri Pannalal",Congress,Ganganagar-SC (Rajasthan )
39,"Basappa,Shri Kondaji",Congress,Chitradurga (Mysore )
40,"Bassayya,Swami Siddarameshwar",Congress,Koppal (Mysore )
41,"Basumatari,Shri Dharanidhor",Congress,Kokrajhar-ST (Assam )
42,"Berwa,Shri Onkarlal",Jan Sangh,Kota (Rajasthan )
43,"Besra,Shri Satya Chandra",Congress,Dumka-ST (Bihar )
44,"Bhagat,Shri Bali Ram",Congress,Shahabad (Bihar )
45,"Bhagat,Shri H.K.L.",Congress,East Delhi (NCT of Delhi )
46,"Bhai,Shri Ram Singh",Congress,Indore (Madhya Pradesh )
47,"Bhandare,Shri R.D.",Congress,Bombay Central (Maharashtra )
48,"Bhanwar,Shri Bhagirath Ramjee",SSCP,Jhabua-ST (Madhya Pradesh )
49,"Bhargava,Shri Bashweshwar Nath",Congress,Ajmer (Rajasthan )
50,"Bhatia,Shri Durgadas",Congress,Amritsar (Punjab )
51,"Bhatia,Shri Raghunandan Lal",Congress,Amritsar (Punjab )
52,"Bhattacharya,Shri Dinendra Nath",CP(M),Serampore (West Bengal )
53,"Bhattacharyya,Shri Jagadish",CP(M),Ghatal (West Bengal )
54,"Bhattacharyya,Shri Shyamaprasanna",CP(M),Uluberia (West Bengal )
55,"Bhattacharyyia,Shri Chapalendu",Congress,Giridih (Bihar )
56,"Bhaura,Shri Bhan Singh",CP,Bhatinda-SC (Punjab )
57,"Bheeshma Dev,Shri M.",TPS,Nagarkurnool-SC (Andhra Pradesh )
58,"Bhimappa Ellappa,Choudari",Congress,Bijapur (Mysore )
59,"Bhuvarahan,Shri Irruppu Govindaswamy",Congress,Mettur (Tamil Nadu )
60,"Bibhuti Mishra,Shri",Congress,Motihari (Bihar )
61,"Bisht,Shri Narendra Singh",Congress,Almora (Uttar Pradesh )
62,"Boddiapalli,Shri Rajagopala Rao",Congress,Srikakulam (Andhra Pradesh )
63,"Bosu,Shri Jyotirmoy",CP(M),Diamond Harbour (West Bengal )
64,"Brahman,Shri Rattanlal",CP(M),Darjeeling (West Bengal )
65,"Brahmanand,Swami",Congress,Hamirpur (Uttar Pradesh )
66,"Brijraj Singh,Shri",Jan Sangh,Jhalawar (Rajasthan )
67,"Buta Singh,Sardar",Congress,Ropar-SC (Punjab )
68,"Chakleshwar Singh,Shri",Congress,Mathura (Uttar Pradesh )
69,"Chanda,Smt. Jyotsna",Congress,Cachar-SC (Assam )
70,"Chandra Shekhar Singh,Shri",CP,Jehanabad (Bihar )
71,"Chandrakar,Shri Chandulal",Congress,Durg (Madhya Pradesh )
72,"Chandrappan,Shri C.K.",CP,Tellicherry (Kerala )
73,"Chandrashekarappa,Shri T.V.",Congress,Shimoga (Mysore )
74,"Chandrika Prasad,Shri",Congress,Ballia (Uttar Pradesh )
75,"Chatterjee,Shri Somnath",CP(M),Burdwan (West Bengal )
76,"Chaturvedi,Shri Rohanlal",Congress,Etah (Uttar Pradesh )
77,"Chaudhary,Shri Ram Prakash",Congress,Ambala-SC (Haryana )
78,"Chaudhary,Shri Amarsinh Zinabhai",Congress,Mandvi-ST (Gujarat )
79,"Chaudhary,Shri Ishwar",Jan Sangh,Gaya-SC (Bihar )
80,"Chaudhuri,Shri Tridib",RSP,Berhampore (West Bengal )
