,Member,Party Name,Constituency
0,"Abbasi,Kazi Jalil",Congress(I),Domariaganj (Uttar Pradesh )
1,"Abdullah,Begum Akbar Jahan",NC,Anantnag (Jammu and Kashmir )
2,"Acharia,Shri Basudeb",CPI(M),Bankura (West Bengal )
3,"Adaikalaraj,Shri Lourdusamy",Congress(I),Tiruchirappalli (Tamil Nadu )
4,"Adiyodi,Dr. K.G.",Congress(I),Calicut (Kerala )
5,"Agarwal,Shri Jai Prakash",Congress(I),Chandni Chowk (NCT of Delhi )
6,"Ahmad,Dr. Sarfaraz",Congress(I),Giridih (Bihar )
7,"Ahmed,Begam Abida",Congress(I),Bareilly (Uttar Pradesh )
8,"Ahmed,Shri Saifuddin",AGP,Mangaldoi (Assam )
9,"Akhtar Hasan,Shri",Congress(I),Kairana (Uttar Pradesh )
10,"Alkha Ram,Shri",Congress(I),Salumber-ST (Rajasthan )
11,"Anand Singh,Shri",Congress(I),Gonda (Uttar Pradesh )
12,"Anjaiah,Shri T.",Congress(I),Secunderabad (Andhra Pradesh )
13,"Anna Nambi,Shri R.",AIADMK,Pollachi-SC (Tamil Nadu )
14,"Ansari,Shri Ziaur Rahman",Congress(I),Unnao (Uttar Pradesh )
15,"Ansari,Shri Abdul Hannan",Congress(I),Madhubani (Bihar )
16,"Anthony,Shri Frank",NM,
17,"Antony,Shri P.A.",Congress(I),Trichur (Kerala )
18,"Anwar, Shri Tariq",Congress(I),Katihar (Bihar )
19,"Appalanarasimham,Shri P.",TDP,Anakapalli (Andhra Pradesh )
20,"Arjun Singh,Shri",Congress(I),South Delhi (NCT of Delhi )
21,"Arunachalam,Shri Mookaiah",Congress(I),Tenkasi-SC (Tamil Nadu )
22,"Athithan,Shri Dhanuskodi",Congress(I),Tiruchendur (Tamil Nadu )
23,"Awasthi,Shri Jagdish",Congress(I),Bilhaur (Uttar Pradesh )
24,"Azad,Shri Bhagwat Jha",Congress(I),Bhagalpur (Bihar )
25,"Azad,Shri Ghulam Nabi",Congress(I),Washim (Maharashtra )
26,"Azeez Sait,Shri",Congress(I),Dharwad South (Karnataka )
27,"Bachchan,Shri Amitabh",Congress(I),Allahabad (Uttar Pradesh )
28,"Baghel,Shri Pratap Singh",Congress(I),Dhar-ST (Madhya Pradesh )
29,"Bairagi,Shri Balkavi",Congress(I),Mandsaur (Madhya Pradesh )
30,"Bairwa,Shri Banwari Lal",Congress(I),Tonk-SC (Rajasthan )
31,"Baitha,Shri Dumar Lal",Congress(I),Araria-SC (Bihar )
32,"Bajpai,Dr. Rajendra Kumari",Congress(I),Sitapur (Uttar Pradesh )
33,"Bala Goud,Shri Tadur",Congress(I),Nizamabad (Andhra Pradesh )
34,"Balaraman,Shri L.",Congress(I),Vandavasi (Tamil Nadu )
35,"Bali,Dr. Vyjayantimala",Congress(I),Madras South (Tamil Nadu )
36,"Banatwalla,Shri Gulam Mehmood",ML,Ponnani (Kerala )
37,"Banerjee,Kum. Mamata",Congress(I),Jadavpur (West Bengal )
38,"Bansi Lal,Shri",Congress(I),Bhiwani (Haryana )
39,"Barman,Shri Palas",RSP,Balurghat-SC (West Bengal )
40,"Barrow,Shri A.E.T.",NM,
41,"Basava Rajeswari,Smt.",Congress(I),Bellary (Karnataka )
42,"Basavaraj,Shri Gangasandra Siddappa",Congress(I),Tumkur (Karnataka )
43,"Basheer,Shri Thalekkunil",Congress(I),Chirayinkil (Kerala )
44,"Basher,Shri Zainul",Congress(I),Ghazipur (Uttar Pradesh )
45,"Basu,Shri Anil",CPI(M),Arambagh (West Bengal )
46,"Bhagat,Shri H.K.L.",Congress(I),East Delhi (NCT of Delhi )
