,Member,Party Name,Constituency
0,"A. Raja,Shri",DMK,Perambalur-SC (Tamil Nadu )
1,"Acharia,Shri Basudeb",CPI(M),Bankura (West Bengal )
2,"Adaikalaraj,Shri Lourdusamy",TMC(M),Tiruchirappalli (Tamil Nadu )
3,"Adsul, Shri Anandrao",SS,Buldhana-SC (Maharashtra )
4,"Agarwal,Shri Dhirendra",BJP,Chatra (Bihar )
5,"Agarwal,Shri Jai Prakash",INC,Chandni Chowk (NCT of Delhi )
6,"Agnihotri,Shri Rajendra",BJP,Jhansi (Uttar Pradesh )
7,"Ahamed, Shri E.",IUML,Manjeri (Kerala )
8,"Ahir, Shri Hansraj Gangaram",BJP,Chandrapur (Maharashtra )
9,"Ahmed,Shri Kamaluddin",INC,Hanamkonda (Andhra Pradesh )
10,"Ajaya Kumar,Shri S.",CPI(M),Ottapalam-SC (Kerala )
11,"Ajmeera,Shri Chandulal",TDP,Warangal (Andhra Pradesh )
12,"Alagiri Samy,Shri V.",CPI,Sivakasi (Tamil Nadu )
13,"Alemao,Shri Churchill Braz",UGDP,Mormugao (Goa )
14,"Ali,Shri Mohammad Idris",INC,Jangipur (West Bengal )
15,"Aliwal,Shri Amrik Singh",SAD,Ludhiana (Punjab )
16,"Anand Mohan,Shri",SAP,Sheohar (Bihar )
17,"Ananth Kumar, Shri",BJP,Bangalore South (Karnataka )
18,"Anis,Shri Mukhtar",SP,Sitapur (Uttar Pradesh )
19,"Annayyagari,Shri Sai Prathap",INC,Rajampet (Andhra Pradesh )
20,"Antulay,Shri Abdul Rehman",INC,Kulaba (Maharashtra )
21,"Anwar, Shri Tariq",INC,Katihar (Bihar )
22,"Arakal,Shri Xavier Varghese",Ind.,Ernakulam (Kerala )
23,"Argal,Shri Ashok",BJP,Morena-SC (Madhya Pradesh )
24,"Arunachalam,Shri Mookaiah",TMC(M),Tenkasi-SC (Tamil Nadu )
25,"Athawalay,Shri Narayan Gajanan",SS,Mumbai North Central (Maharashtra )
26,"Athithan,Shri Dhanuskodi",TMC(M),Tiruchendur (Tamil Nadu )
27,"Avedyanath,Mahant",BJP,Gorakhpur (Uttar Pradesh )
28,"Awade,Shri Kallappa Baburao",INC,Ichalkaranji (Maharashtra )
29,"Azmi,Shri Iliyas",BSP,Shahabad (Uttar Pradesh )
30,"Baalu,Shri Thalikkottai Rajuthevar",DMK,Madras South (Tamil Nadu )
31,"Badade,Shri Bhimrao Vishnuji",BJP,Kopargaon (Maharashtra )
32,"Badal,Shri Sukhbir Singh",SAD,Faridkot (Punjab )
33,"Bagul,Shri Sahebrao",BJP,Dhule-ST (Maharashtra )
34,"Baheria,Shri Subhash Chandra",BJP,Bhilwara (Rajasthan )
35,"Bainda,Choudhary Ramchandra",BJP,Faridabad (Haryana )
36,"Bais,Shri Ramesh",BJP,Raipur (Madhya Pradesh )
37,"Baishya,Shri Birendra Prasad",AGP,Mangaldoi (Assam )
38,"Baitha,Shri Mahendra",SAP,Bagaha-SC (Bihar )
39,"Bala,Dr. Asim",CPI(M),Nabadwip-SC (West Bengal )
40,"Balaraman,Shri L.",TMC(M),Vandavasi (Tamil Nadu )
41,"Balasubramoniyan,Shri S.R.",TMC(M),Nilgiris (Tamil Nadu )
42,"Bali Ram,Dr.",BSP,Lalganj-SC (Uttar Pradesh )
43,"Banatwalla,Shri Gulam Mehmood",IUML,Ponnani (Kerala )
44,"Banerjee,Kum. Mamata",INC,Calcutta South (West Bengal )
45,"Bangarappa,Shri S.",INC,Shimoga (Karnataka )
46,"Bansiwal,Shri Shyam Lal",BJP,Tonk-SC (Rajasthan )
47,"Barman,Shri Ranen",RSP,Balurghat-SC (West Bengal )
48,"Barman,Shri Uddhab",CPI(M),Barpeta (Assam )
49,"Barnala,Shri Surjit Singh",SAD,Sangrur (Punjab )
50,"Barq,Shri Shafiqur Rahman",SP,Moradabad (Uttar Pradesh )
51,"Basu,Shri Chitta",AIFB,Barasat (West Bengal )
52,"Basu,Shri Anil",CPI(M),Arambagh (West Bengal )
53,"Bauri,Smt. Sandhya",CPI(M),Vishnupur-SC (West Bengal )
54,"Baxla,Shri Joachim",RSP,Alipurduar-ST (West Bengal )
55,"Bhagat,Shri Vishweshwar",INC,Balaghat (Madhya Pradesh )
56,"Bhagora,Shri Tarachand",INC,Banswara-ST (Rajasthan )
57,"Bhagwati Devi,Smt.",RJD,Gaya-SC (Bihar )
58,"Bhakta,Shri Manoranjan",INC,Andaman and Nicobar Islands (Andaman and Nicobar Islands )
59,"Bharadwaj,Shri Nitish",BJP,Jamshedpur (Bihar )
60,"Bharathan,Shri O.",CPI(M),Badagara (Kerala )
61,"Bhardwaj,Shri Paras Ram",INC,Sarangarh-SC (Madhya Pradesh )
62,"Bhargav,Shri Girdhari Lal",BJP,Jaipur (Rajasthan )
63,"Bharti,Dr. Amrit Lal",BJP,Chail-SC (Uttar Pradesh )
64,"Bhaskarappa,Shri C.N.",JD,Tumkur (Karnataka )
65,"Bhati,Shri Mahendra Singh",BJP,Bikaner (Rajasthan )
66,"Bhatia,Shri Raghunandan Lal",INC,Amritsar (Punjab )
67,"Bhattacharya,Shri Jayanta",INC,Tamluk (West Bengal )
68,"Bhattacharya,Shri Pradip",INC,Serampore (West Bengal )
69,"Bhoi,Dr. Krupasindhu",INC,Sambalpur (Odisha )
70,"Bhuria,Shri Dileep Singh",INC,Jhabua-ST (Madhya Pradesh )
71,"Biswal,Shri Ranjib",INC,Jagatsinghpur (Odisha )
72,"Bose,Prof.(Smt.) Krishna",INC,Jadavpur (West Bengal )
73,"Budania,Shri Narendra",INC,Churu (Rajasthan )
74,"Chacko,Shri P.C.",INC,Mukundapuram (Kerala )
75,"Chakraborty,Shri Ajay",CPI,Basirhat (West Bengal )
76,"Chandra Shekhar,Shri",SJP(R),Ballia (Uttar Pradesh )
77,"Chandumajra,Shri Prem Singh",SAD,Patiala (Punjab )
78,"Chatterjee,Shri Somnath",CPI(M),Bolpur (West Bengal )
79,"Chatterjee,Shri Nirmal Kanti",CPI(M),Dumdum (West Bengal )
80,"Chaubey,Shri Lalmuni",BJP,Buxar (Bihar )
81,"Chaudhary,Shri Pankaj",BJP,Maharajganj (Uttar Pradesh )
82,"Chaudhary,Shri Padamsen",BJP,Bahraich (Uttar Pradesh )
83,"Chaudhary,Shri Manibhai Ramjibhai",BJP,Bulsar-ST (Gujarat )
84,"Chaudhary,Smt. Nisha Amarsinh",INC,Sabarkantha (Gujarat )
85,"Chauhan,Shri Nihal Chand",BJP,Ganganagar-SC (Rajasthan )
86,"Chauhan,Shri Jaysinhji Mansinhji",BJP,Kapadvanj (Gujarat )
87,"Chauhan,Shri Sriram",BJP,Basti-SC (Uttar Pradesh )
88,"Chauhan,Shri Nand Kumar Singh",BJP,Khandwa (Madhya Pradesh )
89,"Chavan,Shri Prithviraj D.",INC,Karad (Maharashtra )
90,"Chavda,Shri Ishwarbhai Khodabhai",INC,Anand (Gujarat )
91,"Chennithala,Shri Ramesh",INC,Mavelikara (Kerala )
92,"Chhatwal,Shri Sartaj Singh",BJP,Hoshangabad (Madhya Pradesh )
93,"Chidambaram,Shri Palaniappan",TMC(M),Sivaganga (Tamil Nadu )
94,"Chikhalia,Smt. Bhavna Devraj",BJP,Junagadh (Gujarat )
95,"Chintakayala,Shri Ayyanna Patrudu",TDP,Anakapalli (Andhra Pradesh )
96,"Chitthan,Shri N.S.V.",TMC(M),Dindigul (Tamil Nadu )
97,"Chitturi,Shri Ravindra",INC,Rajahmundry (Andhra Pradesh )
98,"Choudhary,Shri Ram Tahal",BJP,Ranchi (Bihar )
99,"Choudhury,Shri A.B.A. Ghani Khan",INC,Malda (West Bengal )
100,"Choudhury,Shri Badal",CPI(M),Tripura West (Tripura )
101,"Chouhan,Shri Shivraj Singh",BJP,Vidisha (Madhya Pradesh )
102,"Col. Choudhary,Sona Ram, VSM (Retd.)",INC,Barmer (Rajasthan )
103,"Dahal,Shri Bhim Prasad",SDF,Sikkim (Sikkim )
104,"Damor,Shri Somjibhai",INC,Dohad-ST (Gujarat )
105,"Dar,Shri Mohd. Maqbool",JD,Anantnag (Jammu and Kashmir )
106,"Darbar,Shri Chhatar Singh",BJP,Dhar-ST (Madhya Pradesh )
107,"Das,Shri Bhakta Charan",SJP(R),Kalahandi (Odisha )
108,"Das,Shri Dwaraka Nath",BJP,Karimganj-SC (Assam )
109,"Das,Shri Anchal",JD,Jajpur-SC (Odisha )
110,"Das,Shri Jitendra Nath",CPI(M),Jalpaiguri (West Bengal )
111,"Dasmunsi,Shri Priya Ranjan",INC,Howrah (West Bengal )
112,"Delkar, Shri Mohan S. ,",Ind.,Dadra and Nagar Haveli-ST (Dadra and Nagar Haveli )
113,"Dennis,Shri N.",TMC(M),Nagercoil (Tamil Nadu )
114,"Deshmukh,Shri Chandubhai Shanabhai",BJP,Broach (Gujarat )
115,"Dev,Shri Sontosh Mohan",INC,Silchar (Assam )
116,"Devadass,Shri R.",TMC(M),Salem (Tamil Nadu )
117,"Dhaliwal,Smt. Satwinder Kaur",SAD,Ropar-SC (Punjab )
118,"Dhananjaya Kumar,Shri Venur",BJP,Mangalore (Karnataka )
119,"Dharmabhiksham,Shri Bommagani",CPI,Nalgonda (Andhra Pradesh )
120,"Diler,Shri Kishan Lal",BJP,Hathras-SC (Uttar Pradesh )
121,"Divya Singh,Maharani",BJP,Bharatpur (Rajasthan )
122,"Diwan,Shri Pawan",INC,Mahasamund (Madhya Pradesh )
123,"Diwathe,Shri Namdeo Harbaji",BJP,Chimur (Maharashtra )
124,"Dome,Dr. Ram Chandra",CPI(M),Birbhum-SC (West Bengal )
125,"Drona,Capt.(Retd.) Jagatvir Singh",BJP,Kanpur (Uttar Pradesh )
126,"Farook,Shri M.O.H.",INC,Pondicherry (Pondicherry )
127,"Fatmi,Shri Mohammad Ali Ashraf",RJD,Darbhanga (Bihar )
128,"Fernandes,Shri George",SAP,Nalanda (Bihar )
129,"Fernandes,Shri Oscar",INC,Udipi (Karnataka )
130,"Fundkar,Shri Pandurang Pundalik",BJP,Akola (Maharashtra )
131,"Gadhavi,Shri Pushpdan Shambhudan",BJP,Kutch (Gujarat )
132,"Gadhvi,Shri Bheravdan Khetdangi",INC,Banaskantha (Gujarat )
133,"Gaekwad,Shri Satyajit Sinh D.",INC,Baroda (Gujarat )
134,"Gaikwad,Shri Udaysingrao",INC,Kolhapur (Maharashtra )
135,"Gamang,Shri Giridhar",INC,Koraput-ST (Odisha )
136,"Gamit,Shri Chhitubhai",INC,Mandvi-ST (Gujarat )
137,"Gandhi,Smt. Maneka Sanjay",JD,Pilibhit (Uttar Pradesh )
138,"Ganesan,Shri V.",DMK,Chidambaram-SC (Tamil Nadu )
139,"Gangwar,Shri Santosh Kumar",BJP,Bareilly (Uttar Pradesh )
140,"Gautam,Smt. Sheela",BJP,Aligarh (Uttar Pradesh )
141,"Gavit,Shri Manikrao Hodlya",INC,Nandurbar-ST (Maharashtra )
142,"Gawali,Shri Pundlikrao Ramji",SS,Washim (Maharashtra )
143,"Geete,Shri Anant Gangaram",SS,Ratnagiri (Maharashtra )
144,"Gehlot,Shri Thaawar Chand",BJP,Shajapur-SC (Madhya Pradesh )
145,"Gehlot,Shri Ashok",INC,Jodhpur (Rajasthan )
146,"Ghatowar,Shri Paban Singh",INC,Dibrugarh (Assam )
147,"Giri,Prof. Sudhir Kumar",CPI(M),Contai (West Bengal )
148,"Gnanagurusamy,Shri R.",DMK,Periyakulam (Tamil Nadu )
149,"Godse,Shri Rajaram",SS,Nashik (Maharashtra )
150,"Goel,Shri Vijay",BJP,Delhi Sadar (NCT of Delhi )
151,"Govindan,Shri T.",CPI(M),Kasaragod (Kerala )
152,"Gowda,Shri Y.N. Rudresha",JD,Hassan (Karnataka )
153,"Gudhe,Shri Anantrao",SS,Amravati (Maharashtra )
154,"Gupta,Shri Indrajit",CPI,Midnapore (West Bengal )
155,"Gupta,Prof. Chaman Lal",BJP,Udhampur (Jammu and Kashmir )
156,"Handique,Shri Bijoy Krishna",INC,Jorhat (Assam )
157,"Hansda,Shri Thomas",INC,Rajmahal-ST (Bihar )
158,"Hasan,Chaudhary Munawwar",SP,Kairana (Uttar Pradesh )
159,"Hazarika,Shri Iswar Prasanna",INC,Tezpur (Assam )
160,"Hegde,Shri Anantkumar",BJP,Kanara (Karnataka )
161,"Hooda,Shri Bhupinder Singh",INC,Rohtak (Haryana )
162,"Hossain,Shri Syed Masudal",CPI(M),Murshidabad (West Bengal )
163,"Imchalemba,Shri",INC,Nagaland (Nagaland )
164,"Islam,Shri Nurul",INC,Dhubri (Assam )
165,"Islam,Shri Qamarul",JD,Gulbarga (Karnataka )
166,"Islary,Shri Louis",Ind.,Kokrajhar-ST (Assam )
167,"Jadhav (Patil),Shri Suresh Ramrao",SS,Parbhani (Maharashtra )
168,"Jagannath,Dr. M.",TDP,Nagarkurnool-SC (Andhra Pradesh )
169,"Jagmohan,Shri",BJP,New Delhi (NCT of Delhi )
170,"Jai Parkash,Shri",HVP,Hissar (Haryana )
171,"Jai Prakash,Shri",BJP,Hardoi-SC (Uttar Pradesh )
172,"Jain,Shri Satya Pal",BJP,Chandigarh (Chandigarh )
173,"Jaiswal,Dr. Madan Prasad",BJP,Bettiah (Bihar )
174,"Jaiswal,Shri Shankar Prasad",BJP,Varanasi (Uttar Pradesh )
175,"Jaiswal,Shri Pradeep",SS,Aurangabad (Maharashtra )
176,"Jalappa,Shri R.L.",JD,Chikballapur (Karnataka )
177,"Jatiya,Dr. Satyanarayan",BJP,Ujjain-SC (Madhya Pradesh )
178,"Javia,Shri Gordhanbhai",BJP,Porbandar (Gujarat )
179,"Jena,Shri Muralidhar",INC,Bhadrak-SC (Odisha )
180,"Jena,Shri Srikant Kumar",JD,Kendrapara (Odisha )
181,"Jindal,Shri Om Parkash",HVP,Kurukshetra (Haryana )
182,"Jose,Shri A.C.",INC,Idukki (Kerala )
183,"Joshi,Vaidya Dau Dayal",BJP,Kota (Rajasthan )
184,"Joshi,Dr. Murli Manohar",BJP,Allahabad (Uttar Pradesh )
185,"Kaikala,Shri Satyanarayana",TDP,Machilipatnam (Andhra Pradesh )
186,"Kalmadi,Shri Suresh",INC,Pune (Maharashtra )
187,"Kamal Rani,Smt.",BJP,Ghatampur-SC (Uttar Pradesh )
188,"Kamble,Shri Shivaji Vithalrao",SS,Osmanabad-SC (Maharashtra )
189,"Kamson,Prof. Meijinlung",INC,Outer Manipur-ST (Manipur )
190,"Kanaujia,Dr. Gendan Lal",BJP,Kheri (Uttar Pradesh )
191,"Kandasamy,Shri K.",TMC(M),Rasipuram-SC (Tamil Nadu )
192,"Kandasamy,Shri V.",TMC(M),Pollachi-SC (Tamil Nadu )
193,"Kanodia,Shri Mahesh Kumar",BJP,Patan-SC (Gujarat )
194,"Kanshi Ram,Shri",BSP,Hoshiarpur (Punjab )
195,"Kar,Shri Ghulam Rasool",INC,Baramullah (Jammu and Kashmir )
196,"Karma,Shri Mahendra",Ind.,Bastar-ST (Madhya Pradesh )
197,"Katheria,Shri Prabhu Dayal",BJP,Firozabad-SC (Uttar Pradesh )
198,"Kathiria,Dr. Vallabhbhai",BJP,Rajkot (Gujarat )
199,"Katiyar,Shri Vinaya",BJP,Faizabad (Uttar Pradesh )
200,"Khalap,Shri Ramakant D.",MGP,Panaji (Goa )
201,"Khalsa,Shri Basant Singh",SAD,Ropar-SC (Punjab )
202,"Khalsa,Shri Harinder Singh",SAD,Bhatinda-SC (Punjab )
203,"Khan,Shri Sunil",CPI(M),Durgapur-SC (West Bengal )
