,Member,Party Name,Constituency
0,"Abbasi,Kazi Jalil",Congress(I),Domariaganj (Uttar Pradesh )
1,"Abdul Samad,Shri A.K.A.",Congress(I),Vellore (Tamil Nadu )
2,"Abdullah,Dr. Farooq",NC,Srinagar (Jammu and Kashmir )
3,"Acharia,Shri Basudeb",CPI(M),Bankura (West Bengal )
4,"Agarwal,Shri Satish Chandra",BJP,Jaipur (Rajasthan )
5,"Ahirwar,Shri Ram Prasad",BJP,Sagar-SC (Madhya Pradesh )
6,"Ahmad,Shri Mohammad Asrar",Congress(I),Budaun (Uttar Pradesh )
7,"Ahmed,Begam Abida",Congress(I),Bareilly (Uttar Pradesh )
8,"Ahmed,Shri Kamaluddin",Congress(I),Warangal (Andhra Pradesh )
9,"Ajit Bag,Shri",CPI(M),Serampore (West Bengal )
10,"Ajit Pratap Singh,Shri",Congress(I),Pratapgarh (Uttar Pradesh )
11,"Alluri,Shri Subhash Chandra Bose",Congress(I),Narasapur (Andhra Pradesh )
12,"Anand Singh,Shri",Congress(I),Gonda (Uttar Pradesh )
13,"Anbarasu,Shri Era",Congress(I),Chengalpattu (Tamil Nadu )
14,"Ankineedu,Shri Maganti",Congress(I),Machilipatnam (Andhra Pradesh )
15,"Ankineedu Prasada Rao,Shri P.",Congress(I),Bapatla (Andhra Pradesh )
16,"Ansari,Shri Ziaur Rahman",Congress(I),Unnao (Uttar Pradesh )
17,"Ansari,Shri Shafiqullah",Congress(I),Madhubani (Bihar )
18,"Anthony,Shri Frank",NM,
19,"Anuragi,Shri Godil Prasad",Congress(I),Bilaspur-SC (Madhya Pradesh )
20,"Anwar, Shri Tariq",Congress(I),Katihar (Bihar )
21,"Anwar Ahmad,Shri",Janata (S),Hapur (Uttar Pradesh )
22,"Appalanaidu,Shri S.R.A.S.",Congress(I),Anakapalli (Andhra Pradesh )
23,"Arakal,Shri Xavier Varghese",Congress(I),Ernakulam (Kerala )
24,"Arjunan,Shri K.",DMK,Dharmapuri (Tamil Nadu )
25,"Arunachalam,Shri Mookaiah",Congress(I),Tenkasi-SC (Tamil Nadu )
26,"Arya,Shri Kumbha Ram",Janata (S),Sikar (Rajasthan )
27,"Ashfaq Husain Ansari,Shri",Congress(I),Maharajganj (Uttar Pradesh )
28,"Azad,Shri Bhagwat Jha",Congress(I),Bhagalpur (Bihar )
29,"Azad,Shri Ghulam Nabi",Congress(I),Washim (Maharashtra )
30,"Azam,Shri Ghufran",Congress(I),Betul (Madhya Pradesh )
31,"Aziz Imam,Shri",Congress(I),Mirzapur (Uttar Pradesh )
32,"Azmi,Dr. Azizullah",Janata (S),Jaunpur (Uttar Pradesh )
33,"Bagri,Shri Mani Ram",Janata (S),Hissar (Haryana )
34,"Bahuguna,Shri Hemwati Nandan",Janata (S),Garhwal (Uttar Pradesh )
35,"Bairwa,Shri Banwari Lal",Congress(I),Tonk-SC (Rajasthan )
36,"Baitha,Shri Dumar Lal",Congress(I),Araria-SC (Bihar )
37,"Bajpai,Dr. Rajendra Kumari",Congress(I),Sitapur (Uttar Pradesh )
38,"Balan,Shri A.K.",CPI(M),Ottapalam-SC (Kerala )
39,"Balanandan,Shri E.",CPI(M),Mukundapuram (Kerala )
40,"Baleshwar Ram,Shri",Congress(I),Rosera-SC (Bihar )
41,"Banarsi Das,Shri",Janata Party,Bulandshahar (Uttar Pradesh )
42,"Banatwalla,Shri Gulam Mehmood",ML,Ponnani (Kerala )
43,"Bansi Lal,Shri",Congress(I),Bhiwani (Haryana )
44,"Barman,Shri Palas",RSP,Balurghat-SC (West Bengal )
45,"Barot,Shri Maganbhai",Congress(I),Ahmedabad (Gujarat )
46,"Barrow,Shri A.E.T.",NM,
47,"Barway,Shri Jatiram Chaitaram",Congress(I),Ramtek (Maharashtra )
48,"Basher,Shri Zainul",Congress(I),Ghazipur (Uttar Pradesh )
49,"Basu,Shri Chitta",AIFB,Barasat (West Bengal )
50,"Behera,Shri Rasa Behari",Congress(I),Kalahandi (Odisha )
51,"Bhagat,Shri H.K.L.",Congress(I),East Delhi (NCT of Delhi )
52,"Bhagat,Shri Bali Ram",Congress(U),Sitamarhi (Bihar )
53,"Bhagwan Dev Acharya,Shri",Congress(I),Ajmer (Rajasthan )
54,"Bhakta,Shri Manoranjan",Congress(I),Andaman and Nicobar Islands (Andaman and Nicobar Islands )
55,"Bhardwaj,Shri Paras Ram",Congress(I),Sarangarh-SC (Madhya Pradesh )
56,"Bhatia,Shri Raghunandan Lal",Congress(I),Amritsar (Punjab )
57,"Bhattacharya,Shri Sushil Kumar",CPI(M),Burdwan (West Bengal )
58,"Bhattacharya,Shri Dinendra Nath",CPI(M),Serampore (West Bengal )
59,"Bheekhabhai,Shri",Congress(I),Banswara-ST (Rajasthan )
60,"Bhim Singh,Shri",Janata Party,Jhunjhunu (Rajasthan )
61,"Bhoi,Dr. Krupasindhu",Congress(I),Sambalpur (Odisha )
62,"Bhole,Shri R.R.",Congress(I),Bombay South Central (Maharashtra )
63,"Bhoopathy,Shri Gotte",TDP,Peddapalli-SC (Andhra Pradesh )
64,"Bhoye,Shri Reshma Motiram",Congress(I),Dhule-ST (Maharashtra )
65,"Bhuria,Shri Dileep Singh",Congress(I),Jhabua-ST (Madhya Pradesh )
66,"Bhuyan,Shri Bhubaneswar",Congress(I),Gauhati (Assam )
67,"Birbal Ram,Shri",Congress(I),Ganganagar-SC (Rajasthan )
68,"Biswas,Shri Ajoy",CPI(M),Tripura West (Tripura )
69,"Boddiapalli,Shri Rajagopala Rao",Congress(I),Srikakulam (Andhra Pradesh )
70,"Bosu,Shri Jyotirmoy",CPI(M),Diamond Harbour (West Bengal )
71,"Brar,Smt. Gurbrinder Kaur",Congress(I),Faridkot (Punjab )
72,"Buta Singh,Sardar",Congress(I),Ropar-SC (Punjab )
73,"Chakraborty,Shri Satyasadhan",CPI(M),Calcutta South (West Bengal )
74,"Chakradhari Singh,Shri",Congress(I),Sarguja-ST (Madhya Pradesh )
75,"Chandra Shekhar,Shri",Janata Party,Ballia (Uttar Pradesh )
76,"Chandra Shekhar Singh,Shri",Congress(I),Banka (Bihar )
77,"Chandrakar,Shri Chandulal",Congress(I),Durg (Madhya Pradesh )
78,"Chandrashekarappa,Shri T.V.",Congress(I),Davangere (Karnataka )
79,"Charan Singh,Chaudhari",Janata (S),Baghpat (Uttar Pradesh )
80,"Charanjit Singh,Shri",Congress(I),South Delhi (NCT of Delhi )
