,Member,Party Name,Constituency
0,"Abraham,Shri K.M.",CP(M),Kottayam (Kerala )
1,"Achal Singh,Seth",Congress,Agra (Uttar Pradesh )
2,"Adichan,Shri P.C.",CP,Adoor-SC (Kerala )
3,"Aga,Shri Syed Ahmed",Congress,Baramullah (Jammu and Kashmir )
4,"Agadi,Shri Sangappa A.",Congress,Koppal (Mysore )
5,"Ahirwar,Shri Nathu Ram",Congress,Tikamgarh-SC (Madhya Pradesh )
6,"Ahmad,Dr. Imteyaz",Congress,Giridih (Bihar )
7,"Ahmed,Shri Fakhruddin Ali",Congress,Barpeta (Assam )
8,"Ahmed,Shri Jahan Uddin",PSP,Dhubri (Assam )
9,"Amat,Shri Debananda",Swatantra Party,Sundergarh-ST (Odisha )
10,"Amersey,Shri Manubhai N.",Swatantra Party,Banaskantha (Gujarat )
11,"Amin,Prof. Ramdas Kishordas",Swatantra Party,Dhandhuka-SC (Gujarat )
12,"Amin,Shri Ramchandra",Swatantra Party,Mehsana (Gujarat )
13,"Amjad Ali,Shri Sardar",UIPG,Basirhat (West Bengal )
14,"Amrit Nahata,Shri",Congress,Barmer (Rajasthan )
15,"Anbazhagan,Shri K.",DMK,Tiruchengode (Madras )
16,"Anbuchezhian,Shri N.",DMK,Dindigul (Madras )
17,"Anirudhan,Shri K.",CP(M),Chirayinkil (Kerala )
18,"Anjanappa,Shri B.",Congress,Nellore-SC (Andhra Pradesh )
19,"Ankineedu,Shri Maganti",Congress,Gudiwada (Andhra Pradesh )
20,"Annadurai,Shri C.N.",DMK,Madras South (Madras )
21,"Anthony,Shri Frank",NM,
22,"Arumugam,Shri R.S.",Congress,Tenkasi-SC (Madras )
23,"Asghar Husain,Shri K.M.",Congress,Akola (Maharashtra )
24,"Atamdas,Shri",Ind.,Morena-SC (Madhya Pradesh )
25,"Avedyanath,Mahant",ABHMS,Gorakhpur (Uttar Pradesh )
26,"Ayarwal,Shri Ram Singh",Jan Sangh,Sagar-SC (Madhya Pradesh )
27,"Azad,Shri Bhagwat Jha",Congress,Bhagalpur (Bihar )
28,"Badrudduja,Syed",IDP,Murshidabad (West Bengal )
29,"Bajaj,Shri Kamalnayan Jamnalal",Congress,Wardha (Maharashtra )
30,"Bajpai,Shri Vidya Dhar",Congress,Amethi (Uttar Pradesh )
