,Member,Party Name,Constituency
0,"Abdur Rahman,Maulana",Congress,Jammu (Jammu and Kashmir )
1,"Abdur Rashid,Shri Bakshi",Congress,Srinagar (Jammu and Kashmir )
2,"Achal Singh,Seth",Congress,Agra (Uttar Pradesh )
3,"Achar,Shri K.R.",Congress,Mangalore (Mysore )
4,"Achint Ram,Lala",Congress,Patiala (Punjab )
5,"Agadi,Shri Sangappa A.",Congress,Koppal (Mysore )
6,"Agrawal,Shri Manakbhai",Congress,Mandsaur (Madhya Pradesh )
7,"Ahmed,Smt. Mofida",Congress,Jorhat (Assam )
8,"Ajit Singh,Shri",Congress,Bhatinda-SC (Punjab )
9,"Akbar,Shaikh Mohammed",Congress,Baramullah (Jammu and Kashmir )
10,"Alva,Shri Joachim",Congress,Kanara (Mysore )
11,"Ambalam,Shri P. Subbiah",Congress,Ramanthapuram (Madras )
12,"Amjad Ali,Shri",PSP,Dhubri (Assam )
13,"Aney,Dr. Madhav Shrihari",Ind.,Nagpur (Bombay )
14,"Anjanappa,Shri B.",Congress,Nellore-SC (Andhra Pradesh )
15,"Anthony,Shri Frank",NM,
16,"Arumugam,Shri R.S.",Congress,Srivilliputhur (Madras )
17,"Arumugham,Shri S.R.",Congress,Namakkal-SC (Madras )
18,"Ashanna,Shri K.",Congress,Adilabad (Andhra Pradesh )
19,"Assar,Shri Premjibhai Ranchhoddas",Jan Sangh,Ratnagiri North (Bombay )
20,"Asthana,Shri Lila Dhar",Congress,Unnao (Uttar Pradesh )
21,"Atchamamba,Dr.(Smt.) Komarrraju",Congress,Vijayawada (Andhra Pradesh )
22,"Awasthi,Shri Jagdish",Ind.,Bilhaur (Uttar Pradesh )
23,"Ayyakkannu,Shri M.",Congress,Nagapattinam-SC (Madras )
24,"Ayyangar,Shri Madabhusi Ananthasayanam",Congress,Chittoor (Andhra Pradesh )
25,"Azad,Maulana Abul Kalam",Congress,Gurgaon (Punjab )
26,"Bagdi,Shri Maganlal Radhakrishnan",Congress,Hoshangabad (Madhya Pradesh )
27,"Bahadur Singh,Shri",Congress,Ludhiana (Punjab )
28,"Bajaj,Shri Kamalnayan Jamnalal",Congress,Wardha (Bombay )
29,"Bakliwal,Shri Mohan Lal",Congress,Durg (Madhya Pradesh )
30,"Baldev Singh,Sardar",Congress,Hoshiarpur (Punjab )
31,"Balkrishnan,Shri S.C.",Congress,Dindigul (Madras )
32,"Balmiki,Shri Kanhaiya Lal",Congress,Bulandshahar (Uttar Pradesh )
33,"Banerjea,Shri Santosh Kumar",Congress,Cooch Behar-SC (West Bengal )
34,"Banerjee,Shri Pramathanath",PSP,Contai (West Bengal )
35,"Banerjee,Shri S.M.",Ind.,Kanpur (Uttar Pradesh )
36,"Banerji,Dr. Ramgati",Congress,Bankura (West Bengal )
37,"Banerjie,Shri Pulin Behari",Congress,Lucknow (Uttar Pradesh )
38,"Barman,Shri Upendranath",Congress,Cooch Behar-SC (West Bengal )
39,"Barrow,Shri A.E.T.",NM,
40,"Barupal,Shri Pannalal",Congress,Bikaner (Rajasthan )
41,"Basappa,Shri C.R.",Congress,Tiptur (Mysore )
42,"Basumatari,Shri Dharanidhor",Congress,Goalpara-ST (Assam )
43,"Beck,Shri Ignace",Jharkhand,Lohardaga-ST (Bihar )
44,"Bhadoria,Shri Arjun Singh",Janata Party,Etawah (Uttar Pradesh )
45,"Bhagat,Shri Bali Ram",Congress,Shahabad (Bihar )
46,"Bhagavati,Shri Bijoy Chandra",Congress,Darrang (Assam )
47,"Bhakt Darshan,Shri",Congress,Garhwal (Uttar Pradesh )
48,"Bhargava,Pandit Mukut Bihari Lal",Congress,Ajmer (Rajasthan )
49,"Bhargava,Pandit Thakur Das",Congress,Hissar (Punjab )
50,"Bharucha,Shri Naushir Cursetji",Ind.,East Khandesh (Bombay )
51,"Bhatkar,Shri Laxmanrao Shrawanji",Congress,Akola-SC (Bombay )
