,Member,Party Name,Constituency
0,"Abdullabhai,Mulla Taherali Mulla",Congress,Chanda (Madhya Pradesh )
1,"Abdus Sattar,Shri",Congress,Kalna-Katwa (West Bengal )
2,"Achal Singh,Seth",Congress,Agra (Uttar Pradesh )
3,"Achalu,Shri Sunkam",PDF,Nalgonda-SC (Hyderabad )
4,"Achint Ram,Lala",Congress,Hissar (Punjab )
5,"Achuthan,Shri K.T.",Congress,Cangannur (Travancore-Cochin )
6,"Agarwal,Shri Hoti Lal",Congress,Jalaun Distt. cum Etawah Distt.(West) cum Jhansi Distt .(North) (Uttar Pradesh )
7,"Agarwal,Shri Shriman Narayan Dharam Narayan",Congress,Wardha (Madhya Pradesh )
8,"Agrawal,Shri Mukund Lal",Congress,Pilibhit Distt. cum Bareilly Distt. (East) (Uttar Pradesh )
9,"Ahmed Mohiuddin,Shri",Congress,Hyderabad City (Hyderabad )
10,"Ajit Singh,Shri",Akali,Kapurthala-Bhatinda-SC (Patiala and East Punjab States )
11,"Akarpuri,Sardar Teja Singh",Congress,Gurdaspur (Punjab )
12,"Alagesan Mudaliar,Shri O.V.",Congress,Chengleput (Madras )
13,"Altekar,Shri Ganesh Sadashiv",Congress,North Satara (Bombay )
14,"Alva,Shri Joachim",Congress,Kanara (Bombay )
15,"Amin,Dr. Indubhai Bhailal Bhai",Ind.,Baroda West (Bombay )
16,"Amjad Ali,Shri",Socialist,Goalpara-Garo Hills-ST (Assam )
17,"Amrit Kaur,Rajkumari",Congress,Mandi - Mahasu-SC (Himachal Pradesh )
18,"Anand Chand,Shri",Ind.,Bilaspur (Bilaspur )
19,"Ansari,Dr. Shaukatullah Shah",Congress,Bidar (Hyderabad )
20,"Anthony,Shri Frank",NM,
21,"Arya,Dr. Suresh Chandra Shiv Prasad",Congress,Aurangabad (Hyderabad )
22,"Asthana,Shri Sita Ram",Congress,Azamgarh Distt West-SC (Uttar Pradesh )
23,"Ayyangar,Shri Madabhusi Ananthasayanam",Congress,Tirupati (Madras )
24,"Azad,Maulana Abul Kalam",Congress,Rampur Dist cum Bareilly dist(west) (Uttar Pradesh )
25,"Bagdi,Shri Maganlal Radhakrishnan",Congress,Mahasamund (Madhya Pradesh )
26,"Bahadur Singh,Shri",Akali,Ferozepur- Ludhiana-SC (Punjab )
27,"Balasubramaniam,Shri S.",Congress,Madurai (Madras )
28,"Baldev Singh,Sardar",Congress,Nawan Shahr (Punjab )
29,"Balkrishnan,Shri S.C.",Congress,Erode (Madras )
30,"Balmiki,Shri Kanhaiya Lal",Congress,Bulandshahar Distt.-SC (Uttar Pradesh )
31,"Banerjee,Shri Durga Charan",Jan Sangh,Midnapore Jhargram-ST (West Bengal )
32,"Bansal,Shri Ghamandi Lal",Congress,Jhajjar (Punjab )
33,"Bansilal,Shri",Congress,Jaipur (Rajasthan )
34,"Barman,Shri Upendranath",Congress,North Bengal (West Bengal )
35,"Barrow,Shri A.E.T.",NM,
36,"Barupal,Shri Pannalal",Congress,Ganganagar-SC (Rajasthan )
37,"Basappa,Shri C.R.",Congress,Tumkur (Mysore )
38,"Basu,Shri Amiya Kanta",Congress,North Bengal (West Bengal )
39,"Basu,Shri Kamal Kumar",CP,Diamond Harbour (West Bengal )
40,"Bhagat,Shri Bali Ram",Congress,Patna cum Shahabad (Bihar )
41,"Bhakt Darshan,Shri",Congress,Garhwal Distt. (East) cum Moradabad Distt. (North-East) (Uttar Pradesh )
42,"Bhandari,Shri Daulat Mall",Congress,Jaipur (Rajasthan )
43,"Bharati,Shri Goswamiraja Sahdeo",Congress,Yeotmal (Madhya Pradesh )
44,"Bhargava,Pandit Thakur Das",Congress,Gurgaon (Punjab )
45,"Bhargava,Pandit Mukut Bihari Lal",Congress,Ajmer South (Ajmer )
46,"Bhartiya,Shri Shaligram Ramchandra",Congress,West Khandesh-ST (Bombay )
47,"Bhatkar,Shri Laxmanrao Shrawanji",Congress,Buldana-Akola (Madhya Pradesh )
48,"Bhatt,Shri Chandrashanker Manishanker",Congress,Broach (Bombay )
49,"Bheekhabhai,Shri",Congress,Banswara-Dungarpur-ST (Rajasthan )
50,"Bhoi,Shri Girdhari",GP,Kalahandi Bolangir-ST (Odisha )
51,"Bhonsle,Shri Jagannathrao Krishnarao",Congress,Ratnagiri North (Bombay )
52,"Bibhuti Mishra,Shri",Congress,Saran cum Champaran-SC (Bihar )
53,"Bidari,Shri Ramappa Balappa",Congress,Bijapur South (Bombay )
54,"Birbal Singh,Shri",Congress,Jaunpur Dist (East) (Uttar Pradesh )
55,"Boddiapalli,Shri Rajagopala Rao",Congress,Srikakulam (Madras )
56,"Bogawat,Shri Uttamchand Ramchand, H.P.",Congress,Ahmednagar South (Bombay )
57,"Boovaraghasamy,Shri V.",TNTP,Perambalur-SC (Madras )
58,"Borkar,Shri Nama Arjun",Congress,Bhandara (Madhya Pradesh )
59,"Borkar,Smt. Ansuyabai Bhaorao",Congress,Bhandara (Madhya Pradesh )
60,"Borooah,Shri Dev Kanta",Congress,Nowgong (Assam )
61,"Bose,Shri Prabhat Chandra",Congress,Manbhum North (Bihar )
62,"Brajeshwar Prasad,Shri",Congress,Gaya-East-SC (Bihar )
63,"Brohomo-Chaudhury,Shri Sitanath",Congress,Goalpara-Garo Hills-ST (Assam )
64,"Buchhikotaiah,Shri Sanaka",CP,Masuliipatam (Madras )
65,"Buragohain,Shri Surendra Nath",Congress,Sibasagar-North Lakhimpur (Assam )
66,"Chacko,Shri P.T.",Congress,Meenachil (Travancore-Cochin )
67,"Chakravartty,Smt. Renu",CP,Basirhat (West Bengal )
68,"Chaliha,Shri Bimala Prosad",Congress,Sibasagar-North Lakhimpur (Assam )
69,"Chanda,Shri Anil Kumar",Congress,Birbhum-SC (West Bengal )
70,"Chandak,Shri BHikulal Lachhimichand",Congress,Betul (Madhya Pradesh )
71,"Chandrasekhar,Smt. Maragatham",Congress,Tiruvallur (Madras )
72,"Charak,Shri Lakshman Singh",NM,
73,"Chatterjea,Shri Tushar",CP,Serampore (West Bengal )
74,"Chatterjee,Shri N.C.",Hindu Mahasabha,Hooghly (West Bengal )
75,"Chatterjee,Dr. Susil Ranjan",Congress,West Dinajpur (West Bengal )
76,"Chattopadhyaya,Shri Harindranath",Ind.,Vijaywada (Madras )
77,"Chaturvedi,Shri Rohanlal",Congress,Etah Dist (Central) (Uttar Pradesh )
78,"Chaudhari,Shri Ranbir Singh",Congress,Rohtak (Punjab )
79,"Chaudhary,Shri Ganeshi Lal",Congress,Shahjahanpur Distt. (North) cum Kheri (East)-SC (Uttar Pradesh )
80,"Chaudhuri,Shri Rohini Kumar",Congress,Gauhati (Assam )
81,"Chaudhuri,Shri Tridib",RSP,Berhampore (West Bengal )
82,"Chavda,Shri Akbarbhai Dalumiya",Congress,Banaskantha (Bombay )
83,"Chettiar,Shri T.A.M. Subramania",Congress,Dharmapuri (Madras )
84,"Chettiar,Shri T.S. Avinashilingam",Congress,Tiruppur (Madras )
85,"Chettiar,Shri V.VR.N.AR. Nagappa",Congress,Ramanthapuram (Madras )
86,"Chettiar,Shri T.A.Ramalinga",Congress,Coimbatore (Madras )
87,"Chinaria,Shri Hira Singh",Congress,Mohindergarh (Patiala and East Punjab States )
88,"Choudhri,Shri Muhammad Shaffee",NM,
89,"Choudhuri,Smt. Ila Pal",Congress,Nabadwip-SC (West Bengal )
90,"Chowdhari,Shri Chapalamadugu Ramaiah",Ind.,Narasaraopet (Madras )
91,"Chowdhury,Shri Nikunja Bihari",CP,Ghatal (West Bengal )
92,"Dabhi,Shri Fulsinhji Bharatsinhji",Congress,Kaira North (Bombay )
93,"Daga,Shri Sheodass",Congress,Mahasamund (Madhya Pradesh )
94,"Damar,Shri Amar Singh",Congress,Jhabua-ST (Madhya Bharat )
95,"Damodaran,Shri Govindaswami Naidu Rangaswami Naidu",Congress,Pollachi (Madras )
96,"Damodaran,Shri Nettur P.",KMPP,Tellicherry (Madras )
97,"Das,Shri Ramananda",Congress,Barrackpore (West Bengal )
98,"Das,Shri Kamal Krishna",Congress,Birbhum-SC (West Bengal )
99,"Das,Dr. Mono Mohan",Congress,Burdwan (West Bengal )
100,"Das,Shri Basanta Kumar",Congress,Contai (West Bengal )
101,"Das,Shri Sarangadhar",Socialist,Dhenkanal West Cuttack-SC (Odisha )
102,"Das,Shri Bhubananda",Congress,Dhenkanal West Cuttack-SC (Odisha )
103,"Das,Shri Bijoy Chandra",CP,Ganjam South (Odisha )
104,"Das,Shri Shree Narayan",Congress,Darbhanga Central (Bihar )
105,"Das,Shri Nayan Tara",Congress,Monghyr Sadar cum Jamui-SC (Bihar )
106,"Das,Shri Ram Dhani",Congress,Gaya-East-SC (Bihar )
107,"Das,Shri Beli Ram",Congress,Barpeta (Assam )
108,"Dasji,Shri Guru Gosain Agam",Congress,Bilaspur-Durg-Raipur (Madhya Pradesh )
109,"Datar,Shri Balwantrao Nageshrao",Congress,Belgaum North (Bombay )
110,"Deb,Shri Suresh Chandra",Congress,Cachar-Lusai Hills-SC (Assam )
111,"Deb,Shri Dasaratha",CPI,Tripura East-ST (Tripura )
112,"Deo,H.H.Maharaja Rajendra Narayan Singh",GP,Kalahandi Bolangir-ST (Odisha )
113,"Deogam,Shri Kanhu Ram",Jharkhand,Chaibassa-ST (Bihar )
114,"Desai,Shri Kanayalal Nanabhai",Congress,Surat-ST (Bombay )
115,"Desai,Shri Khandubhai Kasanji",Congress,Halar (Saurashtra )
116,"Deshmukh,Dr. Chintaman Dwarkanath",Congress,Kolaba (Bombay )
117,"Deshmukh,Shri Krishnarao Gulabrao",Congress,Amravati West (Madhya Pradesh )
118,"Deshmukh,Dr. Punjabrao Shamrao",Congress,Amravati East (Madhya Pradesh )
119,"Deshpande,Shri Govind Hari",Congress,Nasik Central (Bombay )
120,"Deshpande,Shri Vishnu Ghanshyam",Hindu Mahasabha,Guna (Madhya Bharat )
121,"Dholakia,Shri Gulabshankar Amritlal",Congress,Kutch East (Kutch )
122,"Dhulekar,Shri Raghunath Vinayak",Congress,Jhansi Distt. (South) (Uttar Pradesh )
123,"Dhusiya,Shri Sohan Lal",Congress,Basti Distt. Central (East) Cum Gorakhpur Distt.(West) (Uttar Pradesh )
124,"Digambar Singh,Chaudhary",Congress,Etah Dist.(W) cum Mainpuri Dist.(W) cum Mathura Dist. (East) (Uttar Pradesh )
125,"Diwan,Shri Raghevendra Srinivas Rao",Congress,Osmanabad (Hyderabad )
126,"Dube,Shri Mulchand",Congress,Farrukhabad Distt. North (Uttar Pradesh )
127,"Dube,Shri Udai Shanker",Congress,Basti Distt. North (Uttar Pradesh )
128,"Dubey,Shri Rajaram Girdharilal",Congress,Bijapur North (Bombay )
129,"Dutt,Shri Asim Krishna",Congress,Calcutta South West (West Bengal )
130,"Dutta,Shri Santosh Kumar",Congress,Howrah (West Bengal )
131,"Dutta,Shri Birendra Chandra",CPI,Tripura West (Tripura )
132,"Dwivedi,Shri Dashrath Prasad",Congress,Gorakhpur Distt. (South) (Uttar Pradesh )
133,"Dwivedi,Shri Mannoolal",Congress,Hamirpur (Uttar Pradesh )
134,"Ebenezer,Dr. S.A.",Congress,Vikarabad (Hyderabad )
135,"Elayaperumal,Shri L.",Congress,Cuddalore (Madras )
136,"Fotedar,Pandit Sheo Narayan",NM,
137,"Gadgil,Shri Narhar Vishnu",Congress,Poona Central (Bombay )
138,"Ganapati Ram,Shri",Congress,Jaunpur Distt. (East)-SC (Uttar Pradesh )
139,"Gandhi,Shri Feroze",Congress,Pratapgarh Distt. (West) cum Raebareli Distt. (East)-SC (Uttar Pradesh )
140,"Gandhi,Shri Maneklal Maganlal",Congress,Panch Mahals cum Baroda East-ST (Bombay )
141,"Gandhi,Shri Maneklal Maganlal",Congress,Purnea cum Santhal Paragnas-ST (Bihar )
142,"Gandhi,Shri Vithal Balkrishna",Congress,Bombay City North (Bombay )
143,"Ganga Devi,Smt.",Congress,Lucknow Dist. cum Bara Banki Distt.-SC (Uttar Pradesh )
144,"Garg,Shri Ram Pratap",Congress,Patiala (Patiala and East Punjab States )
145,"Gautam,Shri Chintaman Dhivruji",Congress,Balaghat (Madhya Pradesh )
146,"Ghose,Shri Surendra Mohan",Congress,Malda (West Bengal )
147,"Ghosh,Shri Atulya",Congress,Burdwan (West Bengal )
148,"Ghulam Qader Bhat,Kh.",AJKN,
149,"Gidwani,Shri Choithram Partabrai",PSP,Thana (Bombay )
150,"Giri,Shri Varahagiri Venkata",Congress,Pathapatnam (Madras )
151,"Gohain,Shri Chowkhamoon",Congress,Autonomous District-ST (Assam )
152,"Gopalan,Shri Ayillath Kuttieri",CP,Cannanore (Madras )
153,"Gopi Ram,Shri",Congress,Mandi - Mahasu-SC (Himachal Pradesh )
154,"Goud,Shri Y. Gadilingana",PSP,Kurnool (Madras )
155,"Gounder,Shri K. Periaswami",Congress,Erode (Madras )
156,"Gounder,Shri K. Sakthivadivel",Congress,Periyakulam (Madras )
157,"Guha,Shri Arun Chandra",Congress,Santipur (West Bengal )
158,"Gupta,Shri Sadhan Ch.",CP,Calcutta East (West Bengal )
159,"Gupta,Shri Ram Krishan",Congress,Mohindergarh (Patiala and East Punjab States )
160,"Gupta,Shri Badshah",Congress,Mainpuri Distt. (East) (Uttar Pradesh )
161,"Gurupadaswamy,Shri M.S.",KMPP,Mysore (Mysore )
162,"Hansda,Shri Subodh Chandra",Congress,Midnapore Jhargram-ST (West Bengal )
163,"Hansda,Shri Benjamin",Jharkhand,Purnea cum Santhal Paragnas-ST (Bihar )
164,"Hari Mohan,Dr.",Congress,Manbhum North-SC (Bihar )
165,"Hazarika,Shri J.N.",Congress,Dibrugarh (Assam )
166,"Heda,Shri Harish Chandra",Congress,Nizamabad (Hyderabad )
167,"Hem Raj,Shri",Congress,Kangra (Punjab )
168,"Hembrom,Shri Lal",Congress,Santhal Parganas cum Hazaribagh-ST (Bihar )
169,"Hifzur Rahman,Maulana Mohammad",Congress,Moradabad Distt. (Central) (Uttar Pradesh )
170,"Himmatsinhji,Maj.Gen. M.S.",Congress,Halar (Saurashtra )
171,"Hyder Husein,Chaudhri",Congress,Gonda District (North) (Uttar Pradesh )
172,"Ibrahim,Shri A.",Congress,Ranchi North - East (Bihar )
173,"Iqbal Singh,Sardar",Congress,Fazilka-Sirsa (Punjab )
174,"Iyyani,Shri V. Eacharan",Congress,Ponnani (Madras )
175,"Iyyunni,Shri Chalakka R.",Congress,Trichur (Travancore-Cochin )
176,"Jagjivan Ram,Shri",Congress,Shahabad South-SC (Bihar )
177,"Jain,Shri Nemi Saran",Congress,Bijnor Dist. (South) (Uttar Pradesh )
178,"Jain,Shri Ajit Prasad",Congress,Saharanpur Distt.(West) cum Muzaffarnagar Distt.(North)-SC (Uttar Pradesh )
179,"Jaipal Singh,Shri",Jharkhand,Ranchi West-ST (Bihar )
180,"Jaisoorya,Dr. N.M.",PDF,Medak (Hyderabad )
181,"Jajware,Shri Ramraj",Congress,Santhal Parganas cum Hazaribagh-ST (Bihar )
182,"Jangde,Shri Resham Lal",Congress,Bilaspur-SC (Madhya Pradesh )
183,"Jasani,Shri Chatubhuj Vithaldas",Congress,Bhandara (Madhya Pradesh )
184,"Jatav-vir,Dr. Manik Chand",KLP,Bharatpur- Sawai Madhopur-SC (Rajasthan )
