,Member,Party Name,Constituency
0,"Abdul Samad,Shri A.K.A.",Congress(I),Vellore (Tamil Nadu )
1,"Acharia,Shri Basudeb",CPI(M),Bankura (West Bengal )
2,"Adaikalaraj,Shri Lourdusamy",Congress(I),Tiruchirappalli (Tamil Nadu )
3,"Advani, Shri Lal Krishna",BJP,New Delhi (NCT of Delhi )
4,"Agarwal,Shri Jai Prakash",Congress(I),Chandni Chowk (NCT of Delhi )
5,"Agnihotri,Shri Rajendra",BJP,Jhansi (Uttar Pradesh )
6,"Aher,Dr. Daulatrao",BJP,Nashik (Maharashtra )
7,"Ahmed,Shri Kamaluddin",Congress(I),Hanamkonda (Andhra Pradesh )
8,"Ajay Singh,Shri",JD,Agra (Uttar Pradesh )
9,"Akbar,Shri Mobashar Jawed",Congress(I),Kishanganj (Bihar )
10,"Alampadan,Shri Vijayaraghavan",CPI(M),Palghat (Kerala )
11,"Amat,Shri Debananda",JD,Sundergarh-ST (Odisha )
12,"Anand Singh,Shri",Congress(I),Gonda (Uttar Pradesh )
13,"Anbarasu,Shri Era",Congress(I),Madras Central (Tamil Nadu )
14,"Annayyagari,Shri Sai Prathap",Congress(I),Rajampet (Andhra Pradesh )
15,"Antony,Shri P.A.",Congress(I),Trichur (Kerala )
16,"Antulay,Shri Abdul Rehman",Congress(I),Kolaba (Maharashtra )
17,"Anwar Ahmad,Shri",JD,Unnao (Uttar Pradesh )
18,"Anwari,Shri Basavaraj Patil",JD,Koppal (Karnataka )
19,"Argal,Shri Chhabiram",BJP,Morena-SC (Madhya Pradesh )
20,"Arunachalam,Shri Mookaiah",Congress(I),Tenkasi-SC (Tamil Nadu )
21,"Ashokaraj,Shri A.",AIADMK,Perambalur-SC (Tamil Nadu )
22,"Athithan,Shri Dhanuskodi",Congress(I),Tiruchendur (Tamil Nadu )
23,"Atinder Pal Singh,Sardar",NM,Patiala (Punjab )
24,"Avedyanath,Mahant",ABHMS,Gorakhpur (Uttar Pradesh )
25,"Baig,Shri Arif",BJP,Betul (Madhya Pradesh )
26,"Bais,Shri Ramesh",BJP,Raipur (Madhya Pradesh )
27,"Baitha,Shri Mahendra",JD,Bagaha-SC (Bihar )
28,"Bajpai,Dr. Rajendra Kumari",Congress(I),Sitapur (Uttar Pradesh )
29,"Bala,Dr. Asim",CPI(M),Nabadwip-SC (West Bengal )
30,"Bala Goud,Shri Tadur",Congress(I),Nizamabad (Andhra Pradesh )
31,"Balaraman,Shri L.",Congress(I),Vandavasi (Tamil Nadu )
32,"Bali,Dr. Vyjayantimala",Congress(I),Madras South (Tamil Nadu )
33,"Banatwalla,Shri Gulam Mehmood",ML,Ponnani (Kerala )
34,"Banera,Shri Hemendra Singh",JD,Bhilwara (Rajasthan )
35,"Bankhele,Shri Kisan Rao",JD,Khed (Maharashtra )
36,"Bansi Lal,Shri",Congress(I),Bhiwani (Haryana )
37,"Barman,Shri Palas",RSP,Balurghat-SC (West Bengal )
38,"Basava Rajeswari,Smt.",Congress(I),Bellary (Karnataka )
39,"Basavapunnaiah Singam,Shri",Congress(I),Tenali (Andhra Pradesh )
40,"Basavaraj,Shri Gangasandra Siddappa",Congress(I),Tumkur (Karnataka )
41,"Basheer,Shri Thalekkunil",Congress(I),Chirayinkil (Kerala )
42,"Basu,Shri Chitta",AIFB,Barasat (West Bengal )
43,"Basu,Shri Anil",CPI(M),Arambagh (West Bengal )
44,"Beg,Shri Yusuf",JD,Mirzapur (Uttar Pradesh )
45,"Behera,Shri Bhajaman",JD,Dhenkanal (Odisha )
46,"Bengali Singh,Dr.",JD,Hathras-SC (Uttar Pradesh )
47,"Benjamin,Shri Salagala",Congress(I),Bapatla (Andhra Pradesh )
48,"Bhagat,Shri H.K.L.",Congress(I),East Delhi (NCT of Delhi )
49,"Bhagey Gobardhan,Shri",JD,Mayurbhanj-ST (Odisha )
50,"Bhajan Lal,Shri",Congress(I),Faridabad (Haryana )
51,"Bhakta,Shri Manoranjan",Congress(I),Andaman and Nicobar Islands (Andaman and Nicobar Islands )
52,"Bhardwaj,Shri Paras Ram",Congress(I),Sarangarh-SC (Madhya Pradesh )
53,"Bhargav,Shri Girdhari Lal",BJP,Jaipur (Rajasthan )
54,"Bhartiya,Shri Santosh",JD,Farrukhabad (Uttar Pradesh )
55,"Bhat,Shri Mohammad Shafi",J&KNC,Srinagar (Jammu and Kashmir )
56,"Bhatia,Shri Ramsewak",JD,Jalaun-SC (Uttar Pradesh )
57,"Bhattacharya,Prof. (Smt.) Malini",CPI(M),Jadavpur (West Bengal )
58,"Bhattacharya,Shri Nani",RSP,Berhampore (West Bengal )
59,"Bhosale,Shri Prataprao Baburao",Congress(I),Satara (Maharashtra )
60,"Bhoye,Shri Reshma Motiram",Congress(I),Dhule-ST (Maharashtra )
61,"Bhuria,Shri Dileep Singh",Congress(I),Jhabua-ST (Madhya Pradesh )
