,Member,Party Name,Constituency
0,"Abdullah,Dr. Farooq",J&KNC,Srinagar (Jammu and Kashmir )
1,"Adhalrao Patil, Shri Shivaji",SS,Shirur (Maharashtra )
2,"Adhikari, Shri Suvendu",AITC,Tamluk (West Bengal )
3,"Adhikari, Shri Sisir Kumar",AITC,Kanthi (West Bengal )
4,"Adhikari,Shri Dibyendu",AITC,Tamluk (West Bengal )
5,"Adhikari, Shri Deepak (Dev)",AITC,Ghatal (West Bengal )
6,"Adityanath, Shri Yogi",BJP,Gorakhpur (Uttar Pradesh )
7,"Adsul, Shri Anandrao",SS,Amravati (Maharashtra )
8,"Advani, Shri Lal Krishna",BJP,Gandhinagar (Gujarat )
9,"Agrawal, Shri Rajendra",BJP,Meerut (Uttar Pradesh )
10,"Ahamed, Shri E.",IUML,Malappuram (Kerala )
11,"Ahir, Shri Hansraj Gangaram",BJP,Chandrapur (Maharashtra )
12,"Ahlawat, Smt. Santosh",BJP,Jhunjhunu (Rajasthan )
13,"Ahluwalia, Shri S.S.",BJP,Darjeeling (West Bengal )
14,"Ahmed,Smt. Sajda",AITC,Uluberia (West Bengal )
15,"Ahmed, Shri Sultan",AITC,Uluberia (West Bengal )
16,"Ajmal, Maulana Badruddin",AIUDF,Dhubri (Assam )
17,"Ajmal, Shri Sirajuddin",AIUDF,Barpeta (Assam )
18,"Alam,Shri Sarfaraz",RJD,Araria (Bihar )
19,"Ali, Shri Idris",AITC,Basirhat (West Bengal )
20,"Ananth Kumar, Shri",BJP,Bangalore South (Karnataka )
21,"Angadi, Shri Suresh Chanabasappa",BJP,Belgaum (Karnataka )
22,"Anil (alias Padmakar) Gulabrao, Shirole, Shri",BJP,Pune (Maharashtra )
23,"Antony, Shri Anto",INC,Pathanamthitta (Kerala )
24,"Anwar, Shri Tariq",NCP,Katihar (Bihar )
25,"Arunmozhithevan, Shri A.",AIADMK,Cuddalore (Tamil Nadu )
26,"Ashokkumar, Shri K.",AIADMK,Krishnagiri (Tamil Nadu )
27,"Ashwini Kumar, Shri",BJP,Karnal (Haryana )
28,"Aujla,Shri Gurjeet Singh",INC,Amritsar (Punjab )
29,"Azad, Shri Kirti (JHA)",BJP,Darbhanga (Bihar )
30,"Babul Supriyo,Shri",BJP,Asansol (West Bengal )
31,"Badal,Smt. Harsimrat Kaur",SAD,Bathinda (Punjab )
